replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
1997998,118.449615,37.751232,118.52736,37.75127,0.000210249,0.0002424205,0.006690316,0.0028613992,0.015218442,0.0012380953,0.0010536382,0.0031628527,0.008706245,-0.004981119,0.0066943215,0.00286146,0.015331995,0.0013218364,0.0010460262,0.0031697813,0.008614161,-0.004950421,0.0066868155,0.002853835,0.015274887,0.0012598408,0.0010544412,0.0031676716,0.008740361,-0.004833796,-0.08019792,0.83171475,0.9999427,-0.9993492,7.521688,4.925179,14.746286,-1.6077527,1,1,-3.9556403,0.006831699,0.0028706829,0.0149763655,0.0015140844,0.0011867714,0.0033036699,0.0088096475,-0.0046421858,7.5187893,4.9257255,14.743576,-1.608177,-3.9546103,0.5157429,-2.0435371,-5.3223686,-0.00066631596,0.0017084619,0.0033634813,-0.004785343,0.00033084222,0.0012008585,0.0037396254,-0.0037519604,0.9998999834060669,-0.0,10000,10,1000.0,0.0,1000,1000,-0.3820788921993675,0.7028475030218766,2.4285072009186335,-3.4054969410400404,-382.0788921993675,92.12237137066387,-251.4970043540645,-522.0123983959875,-0.116042934,0.649178,0.9997971,-0.9999436,10,-382.0788921993675,10000,10,1000.0,0.0,1000,1000,-0.0002568488930106474,0.01721339982369553,0.4297008761334762,-0.4294913596666178,-0.25684889301063313,0.8303374859081462,1.494977672392637,-1.3053413042871336,-0.00036659918,0.0011386358,0.0013236955,-0.0029732217,10,-0.25684889301063313,13.650875860010274,0.056703343987464905,45.61356285601505,694.0632941049989,753.3844361650117,778.5915715530282,0
1997998,84.90503,-7.039749,90.93102,-6.193039,12.799816,12.747423,-53.169403,212.23299,241.85085,-296.578,-53.382812,212.7331,238.92572,-298.74524,-75.77431,214.43994,230.54236,-331.1936,-75.80029,215.30833,228.65501,-342.57642,-71.13986,216.4012,229.77225,-323.7605,-71.307274,216.87317,228.26367,-323.73898,-0.06914343,0.83132434,0.9999998,-0.99996203,7.866397,4.760107,14.911389,-1.2759444,10001,10001,56.768166,-47.959896,212.3425,241.47542,-270.80087,-48.10856,212.60625,237.55365,-270.13388,-47.680115,212.9392,243.65846,-285.40292,2.1566863,3.8977325,14.374228,-6.364543,-0.09400743,1.2759222,2.3941922,-2.3436031,-0.2328846,0.28536293,0.9545643,-1.3722619,0.3917539715766907,-3.601325035095215,20000,20,1000.0,0.0,1000,1000,0.23946843718446226,0.9803229217991335,6.30766944330143,-3.2444708463140612,239.46843718446218,141.15654188685406,633.4173019599064,97.65794824747444,0.045997743,0.72704965,0.99998695,-0.9999942,10,239.46843718446218,20000,20,1000.0,0.0,1000,1000,3.7684457117881403,1.8420794916097452,7.9430700890058175,-2.319579413043131,3768.445711788138,606.7417266376531,4252.441445916806,2143.3877497412514,-0.10001265,0.81816316,0.99574244,-0.99200916,10,3768.445711788138,17.695234810002148,0.05293448900920339,69.63448846599204,686.3491973790224,773.7318551440258,1552.3322633520293,1
1997998,78.43657,-9.022766,73.91261,-8.461914,21.464573,21.390556,142.07544,295.3096,546.43085,-204.40009,142.02634,295.31256,546.12036,-203.62611,100.45875,290.71347,533.6233,-219.94304,100.539825,289.90607,527.8665,-215.81151,113.424904,296.33588,537.016,-212.15517,113.84342,295.83908,536.73206,-219.84851,-0.06872841,0.83391833,0.9998555,-0.9999384,7.8223996,4.814313,14.814437,-0.43739316,20001,20001,-135.35788,144.22714,295.53824,548.41504,-194.47514,144.07323,295.60815,544.9975,-192.92986,144.55875,294.88867,550.1463,-202.02014,5.046402,5.109579,19.473612,-7.834737,-0.07335237,1.5641513,3.2738557,-3.2773476,-0.4881272,0.30420855,0.7433107,-1.9620374,0.180730402469635,-1.6312947273254395,30000,30,1000.0,0.0,1000,1000,2.0436934101823665,2.373641787082119,7.588044288644232,-2.6479063263138496,2043.6934101823658,1474.4744068608663,4195.786896329313,126.26893381756928,-0.09213454,0.8299417,0.9999998,-0.9999847,10,2043.6934101823658,30000,30,1000.0,0.0,1000,1000,4.209016997439249,1.6940097879655327,7.725101358171105,-2.3550736180111245,4209.016997439248,167.59166499162683,4415.708394028786,3840.6167448546526,-0.108314015,0.87850904,0.99923044,-0.9978691,10,4209.016997439248,46.66632544598542,0.05370502901496366,70.17077824400621,683.5991696609999,800.4899783800065,2352.8376863450976,2
1997998,85.848465,-9.470215,83.99676,-10.354858,26.424467,25.934908,356.94196,339.51407,781.7703,-165.06943,356.69623,339.3948,780.08026,-167.73055,304.58008,329.62195,776.8728,-165.74925,304.85785,328.5598,781.8708,-171.43694,322.16327,336.9496,767.5001,-162.55577,324.1895,336.8016,770.5906,-168.57521,-0.055927962,0.83292997,0.99997807,-0.9999317,8.526409,4.676395,15.052929,-0.48885542,30001,30001,-348.9873,358.55664,340.2812,778.7304,-160.00955,358.51422,340.18158,779.74994,-166.62207,357.17398,339.05048,773.3845,-167.01765,5.9095764,4.973159,20.410553,-7.7494726,-0.025688723,1.6232312,3.7326705,-3.0429459,-0.5768392,0.30268043,0.8853417,-2.0435495,0.15079599618911743,-0.17106974124908447,40000,40,1000.0,0.0,1000,1000,2.6045032101442227,2.375519257248683,7.81227771212499,-3.496655991224668,2604.503210144222,1152.0200007836975,4127.901557720445,1121.3313389095642,-0.10964068,0.85522014,0.99999994,-0.9999843,10,2604.503210144222,40000,40,1000.0,0.0,1000,1000,4.2655170247153205,1.6817651158806446,7.769573282434749,-2.164198116863972,4265.517024715322,91.9767711816718,4398.851336058068,4100.797964775229,-0.1055706,0.88620555,0.9995181,-0.9980382,10,4265.517024715322,45.92035835501156,0.04394125900580548,70.16036195700872,682.8407496139989,798.965411185025,3151.81504845008,3
1997998,139.07793,-8.406982,157.40714,-7.9969482,29.90744,29.658478,411.40234,359.13672,892.20306,-226.4017,411.00092,359.0017,895.9275,-226.9764,351.73117,343.7901,873.73865,-232.39902,351.87402,343.5929,880.92426,-229.71199,371.56186,351.13416,885.0305,-229.44824,371.21338,349.73236,887.24243,-227.96104,-0.07832817,0.8282999,0.99995923,-0.99999094,7.873891,4.821376,14.832168,-2.0362897,40001,40001,-402.82855,411.51373,358.73053,888.1924,-226.05,411.17114,358.48892,891.6195,-224.71173,414.22708,360.91614,880.88684,-229.12198,6.9380875,4.9749584,21.146889,-5.306834,-0.092945315,1.680012,3.6852682,-3.2436287,-0.5928045,0.32991767,0.7957227,-2.2892067,0.16785956919193268,1.6741838455200195,50000,50,1000.0,0.0,1000,1000,3.1028272273382522,2.268435202269167,7.872082798187589,-3.9597889423246215,3102.8272273382536,1050.7766347268687,4320.225851079742,1173.5970391054257,-0.11926954,0.8703693,0.99999875,-0.9999991,10,3102.8272273382536,50000,50,1000.0,0.0,1000,1000,4.131109785973871,1.8461440174730877,7.845119573987472,-1.9376060712139975,4131.109785973869,400.0586415371253,4444.26838948485,3145.9999490632026,-0.10457883,0.878116,0.9996389,-0.9985632,10,4131.109785973869,46.81050595798297,0.041642620984930545,69.68743128000642,669.5279746020096,786.067554460984,3937.8914972960774,4
1997998,294.2869,23.3125,280.76968,23.868652,21.220085,21.614017,758.35394,355.26407,1167.3682,-194.38197,759.06726,356.64072,1169.2882,-199.5773,715.99866,363.24533,1158.9674,-201.30882,715.9608,363.28552,1157.9119,-211.44856,731.7501,359.68762,1158.7112,-192.87999,733.6327,359.15817,1158.1019,-195.56905,-0.091044806,0.8237513,0.9994794,-0.9996845,8.44583,4.6341715,14.890453,0.14441836,50001,50001,-747.1346,750.369,359.77475,1167.1838,-194.40277,750.97705,360.67926,1169.1897,-200.39995,749.48596,359.29022,1166.0403,-176.92528,8.730858,4.377482,25.942793,-2.0321438,-0.035041433,1.8567951,5.054121,-4.814014,-0.6225405,0.20802699,0.30623174,-1.5433102,0.4593236446380615,2.124823570251465,60000,60,1000.0,0.0,1000,1000,-0.3053400401351369,0.9487860213103707,6.720988934164265,-3.9211676336009873,-305.3400401351369,242.36204782360608,298.6356354412454,-507.84797409171927,-0.178982,0.88991296,1.0,-1.0,10,-305.3400401351369,60000,60,1000.0,0.0,1000,1000,-0.355766119778921,0.7753738515805922,6.306910737474976,-3.59794126555088,-355.76611977892105,204.26080531757654,29.201770294678028,-564.3063105694688,-0.17924626,0.86996484,1.0,-1.0,10,-355.76611977892105,47.09824970801128,0.038911723997443914,71.04332910300582,671.2976562179974,789.478146753012,4727.379209418112,5
1997998,180.89552,0.42529297,173.52477,2.802246,24.17011,23.390942,754.0063,376.07452,1268.1459,-368.89005,753.3996,375.8118,1267.2537,-357.0814,706.0674,385.11874,1261.2705,-372.79263,706.41125,385.20874,1262.8674,-363.69693,720.0278,385.90558,1263.8082,-367.36447,721.9162,385.13077,1265.0518,-362.07666,-0.07938525,0.8433639,0.9999877,-0.9992924,7.4079876,4.647246,14.652628,-0.81109583,60001,60001,-745.2357,751.5771,376.46796,1266.4854,-367.74326,750.6087,376.38046,1264.2839,-356.03745,751.47424,377.14578,1267.928,-349.78088,6.419564,4.058428,17.319859,-6.096186,-0.12770836,1.6173415,3.3760376,-3.0693157,-0.57308036,0.18288603,0.1550211,-1.6869957,0.8211787343025208,0.08267523348331451,70000,70,1000.0,0.0,1000,1000,-0.19616301387788412,1.1202497011106918,5.002866891893246,-3.124684812378058,-196.16301387788423,279.7312051644437,385.1457849735407,-511.4079111881468,-0.31860736,0.79075444,1.0,-0.9999998,10,-196.16301387788423,70000,70,1000.0,0.0,1000,1000,0.1170929889980418,1.1633799057730807,6.173678691736818,-2.977288835225731,117.09298899804162,327.77712416563895,950.0759671406794,-300.95729806203883,-0.38479856,0.7489745,0.99999994,-0.9999866,10,117.09298899804162,46.11398763398756,0.04668452002806589,70.07735423900886,661.1175096630177,777.3555360560422,5504.74335733318,6
1997998,225.40497,3.6154785,225.26054,5.7851562,23.61296,22.576473,819.8583,393.65375,1314.8818,-110.97725,819.7125,393.64658,1311.2235,-102.70972,773.16327,404.8185,1309.8851,-119.36713,773.8172,403.9654,1307.2374,-107.720314,785.2438,404.47708,1303.0004,-111.166046,787.88416,403.40588,1299.6362,-107.338936,-0.050834876,0.8355288,0.9995349,-0.99976766,7.886832,4.731112,14.976556,-0.6128662,70001,70001,-811.7024,816.9891,394.76062,1314.1311,-107.77537,816.4691,394.95154,1308.4117,-100.24493,815.48303,393.18616,1306.5215,-99.173004,5.6733365,3.6068614,17.990719,-4.5005,-0.049509604,1.5573622,3.233095,-2.7087967,-0.6177828,0.18483965,-0.096959874,-1.6948011,0.8407164216041565,-0.05667075514793396,80000,80,1000.0,0.0,1000,1000,0.12238166762029869,1.2807632363721437,7.429190822705718,-3.5352741944110564,122.38166762029877,414.3698619601011,973.3931556989075,-463.81293412649677,-0.18263286,0.81890595,0.9999995,-0.9999811,10,122.38166762029877,80000,80,1000.0,0.0,1000,1000,-0.06679303191653863,1.0402233777000922,6.3366598357393515,-4.134358312034571,-66.7930319165383,266.43907403952215,379.57207596064865,-437.006356690908,-0.25470522,0.8025613,0.99999213,-0.99984175,10,-66.7930319165383,48.92745282201213,0.06616087898146361,73.78123327501817,663.9301564699854,786.7050034459971,6291.457249964122,7
1997998,198.94736,13.875977,202.79149,14.998047,23.84061,22.823051,846.42224,398.3132,1322.0576,-270.11087,847.43964,398.76666,1325.6725,-272.87247,799.78156,408.40793,1305.9364,-271.1932,801.5466,407.5909,1315.722,-275.23926,813.9492,408.96393,1309.0006,-267.5898,817.93365,407.134,1318.587,-271.6445,-0.07155543,0.8315698,1.0,-0.99961334,7.850218,4.867329,14.7523775,-1.4163452,80001,80001,-838.3386,842.0023,400.13153,1316.5061,-263.24423,842.7092,400.78067,1322.9668,-266.30344,841.8839,400.20865,1310.0298,-259.96988,5.8915,3.5658305,18.267551,-3.2612133,-0.08241996,1.5290896,2.9102774,-2.8838933,-0.6202321,0.21957965,0.073621854,-1.7035459,0.8522078990936279,-0.017347440123558044,90000,90,1000.0,0.0,1000,1000,0.20472606762192605,1.3237121179317688,7.545908130189412,-3.6007834531404264,204.726067621926,683.0982201814107,1272.125965545901,-478.1957451980148,-0.2059045,0.79743904,0.9999961,-0.9999997,10,204.726067621926,90000,90,1000.0,0.0,1000,1000,0.5360730658050715,1.4668604042038729,8.114064641427921,-2.93582555235537,536.0730658050716,662.5799649100895,1645.3680337952255,-437.96454129784115,-0.14622882,0.7767384,0.9999884,-0.9999635,10,536.0730658050716,48.359761859988794,0.06451866199495271,72.35222303899354,654.0742915750016,774.8507951359788,7066.318789880141,8
1997998,164.2904,-0.68359375,160.16151,0.82373047,28.166332,25.780426,829.73535,384.30325,1311.4907,-457.1934,829.225,385.45563,1311.9581,-427.02682,773.93823,403.53192,1292.1569,-458.4176,776.1599,401.85364,1292.5859,-430.40598,787.527,402.78537,1292.9244,-456.36023,792.2453,399.97037,1295.104,-427.4666,-0.08964027,0.83940285,0.9998505,-0.9989154,7.6259975,4.6094375,14.541632,-1.57398,90001,90001,-820.5818,827.5517,385.45752,1307.4364,-450.656,826.5578,386.52246,1307.6816,-423.62732,826.3453,386.798,1305.8513,-422.41534,5.982155,4.0909224,16.907413,-9.5881195,-0.12293196,1.5764109,2.6416292,-2.5888596,-0.6268196,0.19440898,0.060292214,-1.677571,0.8911265134811401,-0.0020567290484905243,100000,100,1000.0,0.0,1000,1000,0.20123764791945545,1.2726800625758654,5.948824156049682,-3.2609746004166085,201.23764791945533,410.6810185699294,1084.4396709033613,-336.0800697948934,-0.09505151,0.78940445,0.9999999,-0.99998164,10,201.23764791945533,100000,100,1000.0,0.0,1000,1000,0.15701955037836657,1.2218376159519968,7.062273801710694,-3.9373273500751056,157.01955037836632,475.18066705373997,1183.484077904573,-404.810164259987,-0.13916947,0.7673569,0.99987906,-0.9997194,10,157.01955037836632,46.019957224983955,0.03916668499005027,70.32266449698363,653.0866806939885,769.4684691009461,7835.799137557129,9
