replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
998999,56.64095,37.840397,56.570713,37.839764,0.00024024773,0.00018991515,-0.0023096937,0.002758267,0.003746274,-0.00917737,0.0076089734,0.0030718343,0.013608651,0.00038818747,-0.0023190163,0.0027667861,0.0037035188,-0.009218007,0.0076036556,0.0030645528,0.013740118,0.00050220976,-0.0023195217,0.0027711955,0.0037637576,-0.0091957515,0.007613308,0.003076041,0.013766229,0.00028843677,-0.06067695,0.8754148,0.99975675,-0.9998051,3.9453363,1.7936634,7.6295724,-1.7405324,1,1,-3.994723,-0.0024060463,0.0026755952,0.003201637,-0.0087413015,0.0076452894,0.003104509,0.013676241,0.0006468982,3.9452953,1.7949624,7.627353,-1.7415594,-3.9970846,0.5439691,-2.595673,-6.3708477,1.1928279e-05,0.002029053,0.0042390153,-0.0053246124,0.00039303117,0.0023643824,0.006441658,-0.0053743753,0.9998999834060669,-0.0,10000,10,1000.0,0.0,1000,1000,-0.3109260871979498,0.5870758540658335,1.8874930778965742,-2.9829214398336488,-310.92608719794976,56.29267868653037,-216.49288663145293,-450.2283236687003,0.15867718,0.63881665,0.99953765,-0.99982965,10,-310.92608719794976,10000,10,1000.0,0.0,1000,1000,-0.00023724071995976525,0.014471301900375216,0.2745180571361192,-0.3663087405320469,-0.23724071995976592,0.5999361490141876,0.7673366620870611,-1.4721365799383233,5.633121e-05,0.0011478231,0.001618916,-0.0018061165,10,-0.23724071995976592,11.715438034007093,0.039200213010190055,19.09145928302314,687.7315395479964,718.5776370780368,732.8018594290188,0
998999,182.21121,-16.238525,184.22276,-15.384766,23.151947,26.445751,-452.7508,62.12605,-120.63271,-531.03015,-453.00372,62.024986,-126.291245,-536.8789,-494.51602,74.784615,-128.14368,-592.61066,-500.8628,76.558136,-131.85187,-606.9703,-490.0717,72.07239,-124.71116,-573.1535,-495.4953,73.87366,-131.19638,-587.8563,-0.07785336,0.8739935,1.0,-0.9999246,3.9653625,1.7250946,7.4181566,-1.4188063,10001,10001,458.04794,-446.73074,59.87005,-130.0956,-495.59576,-446.7282,59.91923,-129.33455,-491.60406,-446.74756,60.95116,-125.084496,-501.41318,3.8886757,4.195035,15.814656,-6.5617027,-0.097680986,1.4916829,4.621709,-4.4289165,-0.2434506,0.29735553,0.9983578,-1.3867571,0.40555644035339355,-1.9053103923797607,20000,20,1000.0,0.0,1000,1000,1.1494189243596789,1.827162168215699,7.416058181908079,-2.967263588865876,1149.418924359679,998.1388152760471,3067.021763836729,249.2907573965286,-0.022389323,0.7379456,1.0,-0.9999994,10,1149.418924359679,20000,20,1000.0,0.0,1000,1000,4.2148319673465435,1.621350824117887,7.632917732085184,-1.6109355383215347,4214.831967346546,43.072126117619575,4292.548070928558,4154.923018906945,-0.11565289,0.8532876,0.99414897,-0.99037546,10,4214.831967346546,21.766484381019836,0.04387798401876353,19.093935568002053,690.8098043399805,731.7141022730211,1464.5248780190304,1
998999,14.49279,-30.719238,20.109276,-30.524292,26.422117,28.197254,-309.80057,17.525349,-200.62512,-391.1864,-308.31024,17.944086,-193.498,-385.9213,-361.94696,26.720116,-200.49368,-433.61697,-363.09076,27.485317,-194.1396,-437.5278,-352.37628,24.147402,-199.47609,-412.52023,-355.2683,26.178192,-193.00333,-418.64243,-0.10158214,0.8833908,0.99969274,-0.99965984,4.021765,1.6494738,7.5425525,-2.2063332,20001,20001,316.40417,-306.13086,16.696182,-206.2938,-375.52682,-304.52698,17.331434,-193.08705,-373.9914,-306.64026,18.023338,-194.19742,-387.42062,6.61496,4.189433,19.296612,-6.7746487,-0.103539646,1.6980932,2.999969,-3.4496303,-0.4184784,0.25156397,0.40103608,-1.4723427,0.33461257815361023,0.6732762455940247,30000,30,1000.0,0.0,1000,1000,2.600166268095234,2.274736874315521,7.669269232075317,-2.515287697664624,2600.1662680952354,1120.9307916444834,3935.677803609146,886.4408322739558,-0.08034289,0.82469684,0.9999996,-0.9999625,10,2600.1662680952354,30000,30,1000.0,0.0,1000,1000,4.2309186108557935,1.6373407232212576,7.7639115935156955,-1.9338551373825734,4230.918610855794,116.61676108001421,4376.6485462982255,4023.8900809084716,-0.11146004,0.8688583,0.998129,-0.99679923,10,4230.918610855794,20.834517551993486,0.03925535301095806,21.74270021999837,689.1934934500023,731.8099665750051,2196.3455332240846,2
998999,20.907574,-26.007446,16.803432,-26.568237,22.25548,22.221983,-214.47432,17.824978,-182.92857,-293.83615,-212.49051,18.061213,-180.49525,-287.79752,-259.25555,22.327518,-200.62802,-326.9751,-256.9952,21.719501,-198.59236,-318.9412,-247.32808,21.335302,-203.0464,-310.40402,-246.62886,21.87987,-198.5278,-303.87653,-0.11396536,0.859838,0.9999576,-0.9996858,3.7376795,1.8296989,7.2453947,-1.6960427,30001,30001,220.19229,-210.65442,17.175724,-181.90166,-281.14206,-208.5988,17.479965,-179.37956,-281.57422,-208.98044,18.726503,-183.03822,-290.44742,5.461549,4.2717066,16.94157,-6.6222525,-0.16649549,1.6226337,3.3502183,-3.7373943,-0.39440718,0.2726661,0.71878237,-1.465821,0.33945533633232117,-0.5817344784736633,40000,40,1000.0,0.0,1000,1000,3.3716387936002836,2.064184190308472,7.609534454629156,-2.0288249452561886,3371.638793600282,1031.0386802044202,4176.004991185944,1640.4520399930175,-0.10720796,0.8658841,0.9999995,-0.99997354,10,3371.638793600282,40000,40,1000.0,0.0,1000,1000,4.332894710874373,1.6599140936650654,7.829591697892783,-2.0912428107302303,4332.894710874371,109.07963448018522,4521.4704368499915,4145.66162375728,-0.11824451,0.87263846,0.9975358,-0.9940594,10,4332.894710874371,19.422776010003872,0.05975047900574282,24.778606995008886,686.030946526007,730.2920800100255,2926.6467712190934,3
998999,2.216507,-30.284729,2.2378616,-30.677917,21.28233,20.387672,-153.7198,17.6423,-127.16081,-213.00082,-153.87991,17.79921,-125.96865,-217.82845,-197.60794,15.995428,-139.34451,-255.27046,-195.73943,14.930318,-139.23769,-250.49913,-186.3342,15.864642,-142.62914,-245.9736,-186.61922,15.7365265,-145.26479,-246.13542,-0.08515545,0.87470657,0.9997042,-0.9998083,3.8922043,1.6921853,7.7121787,-0.6543108,40001,40001,161.44731,-150.62177,17.647066,-125.46515,-206.64012,-150.74203,17.754557,-126.68948,-208.68182,-149.7977,19.049452,-121.74749,-217.87663,6.2549353,4.442039,18.926807,-4.28295,-0.03740521,1.7248375,3.3718774,-2.9779637,-0.4245143,0.26225078,0.3334961,-1.5338621,0.34138867259025574,0.27398329973220825,50000,50,1000.0,0.0,1000,1000,3.7795638443394446,1.9314717851989236,7.941163705534882,-2.7562843960666896,3779.5638443394478,739.2361064651492,4331.526668217022,2225.7844480146637,-0.10531387,0.8876151,0.9999994,-0.9999867,10,3779.5638443394478,50000,50,1000.0,0.0,1000,1000,4.269103994288007,1.668609220646433,8.034056473355259,-2.1363044710015613,4269.103994288008,88.02579647315603,4392.982551971852,4054.4935197767327,-0.108410455,0.8766822,0.9980967,-0.9950345,10,4269.103994288008,19.30703252798412,0.06464633299037814,28.046227234997787,674.1234451189812,721.5413512149535,3648.20322702307,4
998999,-2.135662,-30.178986,-5.2071304,-31.440186,21.167786,20.569353,41.612602,39.742878,86.37061,-129.13788,41.086266,39.996853,86.066734,-132.19487,-3.949051,30.988907,67.58323,-141.51562,-3.2236037,30.85492,69.08831,-143.50047,9.837346,32.338413,61.220207,-137.3591,9.1881,31.952883,56.930298,-135.25449,-0.04640992,0.87869817,0.9997604,-0.9999415,3.9460645,1.8309339,7.4296837,-0.7944065,50001,50001,-33.010887,42.865837,39.546448,86.43555,-125.55881,42.541573,39.878666,86.302795,-129.76949,43.23018,39.84048,87.08047,-130.85213,7.566041,4.3397255,16.565123,-8.32063,-0.011313503,1.7481456,2.7033772,-2.4586046,-0.5601902,0.14803979,0.019838396,-1.1484189,0.9337618947029114,0.10745412111282349,60000,60,1000.0,0.0,1000,1000,3.4105604003618244,2.042182599841688,7.736468062100585,-2.918533840391092,3410.560400361826,983.6458112938353,4153.894313322462,834.5231075589637,-0.1052622,0.8928517,0.9998419,-0.9997577,10,3410.560400361826,60000,60,1000.0,0.0,1000,1000,4.218533857545324,1.7120905727380142,7.718847814657602,-2.2286626893474746,4218.533857545326,100.15686378992886,4358.9307371206,3981.966393306546,-0.111693,0.89683855,0.9927516,-0.9881618,10,4218.533857545326,21.08689495699946,0.04100266800378449,32.42870158000733,664.599027076998,718.1556262820086,4366.371463664109,5
998999,1.5708199,-32.433807,3.3193588,-33.025085,21.02544,20.63602,42.237354,41.432396,84.30575,-161.55432,42.71907,41.4689,85.70207,-161.7827,-2.6106577,33.15536,56.543186,-167.70888,-1.2738978,33.510338,58.581833,-167.99072,10.151916,35.13586,53.18315,-169.0952,11.390421,35.344936,54.64877,-172.09167,-0.074793436,0.87503105,0.9999578,-0.99958694,4.014594,1.7329473,7.544247,-1.06591,60001,60001,-35.44156,45.460487,41.398483,84.39804,-155.51707,46.11411,41.44304,84.07491,-153.81808,45.30684,42.29156,87.252144,-156.89545,6.234967,4.127676,15.67449,-7.8175936,-0.039784446,1.6151797,2.4783201,-2.3368924,-0.5357606,0.15122095,-0.03595932,-1.021846,1.3533824682235718,-0.07110291719436646,70000,70,1000.0,0.0,1000,1000,4.167214106231714,1.6545041300600396,7.814309234359553,-2.3367514986845603,4167.214106231713,89.20848662243074,4294.542583283648,3990.034225969006,-0.107844815,0.9015514,0.9995899,-0.9995238,10,4167.214106231713,70000,70,1000.0,0.0,1000,1000,4.475471766684779,1.7014917403911007,7.819859431610075,-2.3172800316088233,4475.471766684781,70.26349308711306,4572.935141674037,4322.728475500973,-0.112228274,0.8807667,0.9876894,-0.9822475,10,4475.471766684781,20.060174565995112,0.03905463998671621,31.647963374998653,664.4077681270137,716.1549607079942,5082.535259244149,6
998999,-0.44345856,-35.568893,-2.5992508,-36.25538,20.842981,20.047173,19.230137,37.565582,55.083874,-190.73784,19.490133,37.49471,55.906067,-187.07524,-25.29301,31.549168,33.721043,-193.01917,-22.729712,31.765545,30.43825,-192.25543,-13.062561,33.181355,24.853365,-196.56598,-12.616292,32.952854,24.454336,-196.33594,-0.062160086,0.88649875,0.9998518,-0.9997188,4.17218,1.6646246,7.2089005,-1.2158211,70001,70001,-12.098336,22.916245,37.82205,56.023678,-182.72311,23.394241,37.672184,56.746418,-182.07687,23.849777,38.032875,59.014866,-187.67416,6.1976023,3.7649822,14.732172,-5.33504,-0.033318672,1.6280832,2.4416578,-2.33822,-0.5287795,0.12931298,-0.018446516,-1.1401608,1.349250316619873,-0.05919313430786133,80000,80,1000.0,0.0,1000,1000,4.277992675491935,1.6732395554005237,7.833921460272938,-2.3617085084184293,4277.992675491934,94.94734038312411,4381.724830811325,4082.752373938618,-0.11279586,0.9003755,0.99977154,-0.9995015,10,4277.992675491934,80000,80,1000.0,0.0,1000,1000,4.52417825907198,1.7243050003276912,7.852642370533528,-2.025822435841735,4524.1782590719795,65.84552413044241,4645.658400082753,4420.025595873169,-0.13137513,0.8816762,0.98649216,-0.9839036,10,4524.1782590719795,20.75580275701941,0.06299413499073125,32.46872724601417,661.9964249100012,715.2839490480255,5797.827804962144,7
998999,-5.9577866,-35.299015,-6.8723946,-35.571873,20.102295,19.91664,4.6014795,35.635452,37.734924,-216.66968,4.5664253,35.835655,38.770866,-216.33241,-38.65392,30.202053,18.22814,-222.99637,-37.346985,30.867147,18.491447,-223.8146,-25.98849,31.35023,11.182737,-215.79306,-27.407959,31.639975,11.101246,-221.10371,-0.06593945,0.8786215,0.9999537,-0.999691,4.2071085,1.7100843,7.1862264,-0.8604343,80001,80001,2.548256,8.346556,35.55075,38.045864,-205.54437,8.379282,35.676785,38.423023,-204.01376,9.401007,35.463604,42.424896,-200.52432,6.396163,3.8101244,15.0035715,-4.151953,-0.011476113,1.6261249,2.529156,-2.3019974,-0.5605256,0.14150503,-0.10077587,-1.1717271,1.3632112741470337,-0.12274055182933807,90000,90,1000.0,0.0,1000,1000,4.332860760959091,1.6554357098530925,7.920015588187118,-2.1388881621484326,4332.86076095909,93.59435348616573,4536.37687509184,4208.854310862189,-0.11362248,0.89922625,0.99970424,-0.9994853,10,4332.86076095909,90000,90,1000.0,0.0,1000,1000,4.615004090392988,1.7092224113050738,7.80261256534277,-2.0902140421812088,4615.004090392989,72.34474508065831,4710.525135048202,4485.007871543225,-0.12523818,0.8828347,0.9877458,-0.9798037,10,4615.004090392989,23.649337230977835,0.041133193008136004,35.96732184800203,658.0697550670011,717.7275473389891,6515.56957115815,8
998999,5.6398315,-32.480446,1.6673508,-32.84362,18.804949,18.681522,-12.95723,44.343224,26.245487,-226.97087,-13.599393,44.56406,26.024931,-227.23524,-53.75061,37.305775,2.9393673,-235.47763,-53.396984,37.664734,3.058453,-237.63469,-40.59539,39.270332,4.187015,-241.0985,-42.15379,39.175423,1.9494374,-234.65314,-0.0996022,0.8716356,0.9998097,-0.99977326,4.043365,1.6286869,7.254347,0.11934661,90001,90001,20.059004,-9.219119,44.55591,27.307556,-219.92851,-9.701708,44.963,26.357782,-218.50981,-8.989055,45.76296,32.020702,-217.90114,5.764144,3.955014,14.677146,-5.114366,-0.08975028,1.5701008,2.5086708,-2.3031647,-0.5519097,0.15569352,0.016379282,-1.1341705,1.3692147731781006,0.07412290573120117,100000,100,1000.0,0.0,1000,1000,4.4362338880949395,1.6783042726923425,7.853133227115748,-2.3596819708846453,4436.233888094937,61.08874958210765,4526.868980707848,4334.855953598088,-0.11921464,0.9010054,0.9997132,-0.9993891,10,4436.233888094937,100000,100,1000.0,0.0,1000,1000,4.645140628639004,1.6991064030073593,7.843538818719719,-2.1501578860315154,4645.140628639005,62.57444642153986,4733.084503603866,4516.612211378351,-0.121133216,0.8787474,0.98631656,-0.9820545,10,4645.140628639005,23.48337120100041,0.04005214598146267,32.1115808429895,657.7289873129921,713.3639915029635,7228.945209463127,9
