replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
1199953,39.80373,27.410147,39.754925,27.410225,0.00025485927,0.00018251281,-0.0046681343,0.0013652184,-0.0022741596,-0.007814207,0.0024984137,0.0006077025,0.004408153,0.00079308054,-0.0046648877,0.0013568841,-0.0022983714,-0.007826112,0.0024945808,0.0006035769,0.004281841,0.0007901192,-0.004662859,0.0013659429,-0.0022706247,-0.007874504,0.0025090366,0.00060037564,0.0043634092,0.00090218056,0.05764575,0.6241599,0.9999994,-0.9999173,3.430763,0.7834293,5.1662917,0.94935334,1,1,-2.0238452,-0.0046395375,0.001292917,-0.0023498978,-0.0073586963,0.0025077108,0.0005600207,0.004146062,0.0010149181,3.4275584,0.7834303,5.1616373,0.94595844,-2.0285077,0.36955792,-0.96014977,-2.7337806,-0.0013541426,0.00074565114,-0.00013067125,-0.0030867504,-0.00017310784,0.002081507,0.0023818298,-0.0037256666,0.9998999834060669,-0.0,9992,1256,7.955414012738854,0.9466262523902828,12,6,0.6526773614713623,0.2142301121822998,1.079819761447144,0.00025643690456125063,5.1923186272466975,1.0209581659735736,10.429975008441321,2.9990119324893585,-0.21064906,0.6592623,0.99956566,-0.9995156,1256,5.1923186272466975,9995,93,107.47311827956989,9.148231391266865,130,86,0.9436581332781714,0.05175518297329821,1.0586479817677859,0.732831343853935,101.41788217328306,10.702529195826736,132.52747802838368,78.42423727710369,-0.001098245,0.0004405837,-0.0004486949,-0.001683326,93,101.41788217328306,14.834078230996965,0.09994435500993859,23.60239841300063,584.3968000540044,622.933221053012,640.6843486630241,0
1199953,34.27826,16.569824,31.778141,15.814407,3.81686,3.665339,35.15763,39.071526,114.2444,-65.88684,35.905632,39.337208,115.14158,-60.869064,29.950348,41.1011,110.71695,-70.51081,30.863348,41.35638,112.42127,-69.05833,34.818825,39.134617,113.16648,-68.925255,35.58735,39.386154,114.30954,-66.66371,0.04509266,0.5953306,0.99998796,-0.9999661,3.534161,0.74336934,5.106294,0.7997254,10001,10001,-35.517654,36.71321,38.57823,109.52648,-40.79914,37.593952,38.765198,112.40651,-41.11748,37.485443,38.805443,114.943115,-48.622623,-0.47409832,1.8891464,6.0313444,-5.9147596,0.023258185,0.76461256,2.3073297,-2.6318889,-0.5037451,0.3691304,0.87859756,-1.4567693,0.37748828530311584,-3.3841896057128906,19884,1295,253.64102564102564,144.7311366176621,638,64,3.0177233016498857,1.0741945514078495,6.76002614286423,0.8190298093022094,765.4184333312994,553.7208175002141,2242.9208808065514,111.34450127128503,0.09373334,0.58804065,1.0,-1.0,39,765.4184333312994,19994,137,227.25,4.140295334217772,254,226,3.4725391760633326,1.1669802272059608,6.171247250499213,1.0014397642864314,789.1345277603923,20.888026130649838,924.3602294145888,779.5913656894953,0.06998425,0.4943541,0.99384755,-0.99077,44,789.1345277603923,13.866793597000651,0.060491555006592534,23.568975260001025,586.8897716430074,624.3860320550157,1265.0808956760447,1
1199953,24.878153,14.180664,25.605867,14.075439,5.366479,5.346898,112.79968,32.506584,171.8638,4.489917,112.93728,32.52946,173.12108,5.7715597,103.41416,31.135553,168.64133,0.42955592,103.508194,30.950085,168.70325,-0.377627,112.34438,32.29401,172.34866,7.157956,112.47023,32.339035,174.40604,8.118678,0.044203807,0.6290522,0.99999994,-0.999785,3.5348845,0.7691578,5.0895977,0.9712851,20001,20001,-111.71605,113.21791,32.539455,172.91934,10.083155,113.3764,32.606113,175.17302,11.074999,113.27167,32.570698,171.24263,11.70675,0.6301304,2.7088377,10.760613,-5.548837,-0.022554034,1.1135539,2.5397062,-3.7485414,-0.6822071,0.41155136,1.527109,-1.7039789,0.14477667212486267,-4.579689979553223,29824,1354,168.47457627118644,98.94842963137602,386,48,3.174531092603484,1.2925773690170594,6.4133999087150455,0.8399217820609799,534.8277806860784,414.34462277997375,1413.0988859038055,83.8020187045569,0.11556173,0.63987625,1.0,-1.0,59,534.8277806860784,29757,165,348.67857142857144,184.87351922935014,1000,245,3.7524248881057845,1.13504683721545,6.472463394442452,1.0034170468632162,1308.3901493777419,694.038799420472,3805.9858598687915,881.7262747775968,0.06380416,0.54391843,0.9997032,-0.99977064,28,1308.3901493777419,15.547268267997424,0.06454841799859423,21.292810584011022,582.7315778949996,619.6362051650067,1884.723945476042,2
1199953,19.47129,14.398682,18.938128,13.882874,5.2752457,5.2904797,182.00186,39.466087,240.60405,13.098533,182.11353,39.262104,239.8714,11.942355,172.60909,39.791702,238.24567,5.2459207,172.59932,39.497192,238.18207,8.919929,181.32913,39.19905,240.62578,14.632106,181.40547,38.943645,239.83669,13.540458,0.09629806,0.59435576,0.9998766,-0.9993198,3.5788932,0.7387574,5.27562,0.929681,30001,30001,-180.83014,182.31459,39.25507,240.50272,17.426838,182.45001,38.97724,239.69948,18.239923,182.68,39.2416,238.67609,16.602882,0.80311704,2.3770056,9.724384,-4.67039,0.030895025,1.0523041,3.9525194,-3.8328626,-0.80429894,0.36396343,0.78908896,-1.8416462,0.05434257537126541,-6.398087024688721,39739,1382,354.10714285714283,229.95967647855664,1000,54,3.5571937316425783,1.037837680492689,6.444389634771149,0.9405451000358297,1259.6277089012915,854.7477809718671,3626.2469546587245,95.88512602576179,0.08107452,0.61848766,1.0,-1.0,28,1259.6277089012915,39051,183,516.3333333333334,242.8945816146951,1000,297,3.7646055831667447,0.9677508791093627,6.468374448048291,1.0070456820681692,1943.7913494417621,853.3433747942,3684.9586052510285,1112.941164264472,0.055705152,0.53730357,0.99990183,-0.999827,18,1943.7913494417621,16.916583295998862,0.04362366101122461,23.228012470994145,576.3176849490119,616.5059043770161,2501.239115326054,3
1199953,25.337914,13.611206,22.7006,13.307373,6.2779236,6.217531,223.53755,51.873558,282.02246,7.015551,223.15166,51.707714,281.519,7.403243,212.33728,52.400192,277.65918,2.439961,211.92403,52.04184,278.19266,0.660676,222.6897,51.54213,281.6087,7.322703,222.37003,51.377735,281.22003,7.144349,0.08131115,0.59726137,0.99941045,-0.999947,3.5326798,0.7035661,6.20976,0.7765601,40001,40001,-221.64256,223.75845,51.823257,281.12433,8.347407,223.42809,51.5352,280.04318,8.120188,221.66249,51.728355,281.4347,4.892067,0.9044178,2.8357177,11.757719,-4.691008,0.0067088157,1.1474634,3.937851,-4.3578353,-0.81842166,0.37690097,0.97443986,-1.9292899,0.02024756744503975,-8.171979904174805,49309,1394,797.5,234.24364096669376,1000,394,3.5421496037225464,0.657432164760886,5.338433585776486,0.8587386154576035,2824.8643089687316,889.2785808115764,3614.1632849149764,1303.273825820706,0.11484119,0.6002878,0.9999991,-0.9999641,12,2824.8643089687316,48386,193,933.5,199.5,1000,335,3.5852992603237026,0.6296857201727711,6.2006602019963015,1.0035454339471803,3346.8768595121755,687.9335546569687,3622.549171949373,1284.5626819518855,0.06214088,0.5076739,0.999941,-0.99993527,10,3346.8768595121755,18.95871404100035,0.06329069400089793,22.163073773001088,566.5421858119953,607.7272643199976,3108.9724830020423,4
1199953,15.577363,5.835449,15.251122,5.435669,7.6225796,7.777057,298.8098,52.24036,359.03195,31.750813,298.45242,52.524582,360.07767,26.046824,284.24902,52.55779,356.31873,25.050272,283.54526,52.806133,357.9422,19.509132,297.89658,52.146107,358.44394,31.661907,297.55096,52.3361,360.075,25.823103,0.050085694,0.60894036,0.9999229,-0.99985987,3.4929228,0.762494,5.2500634,0.91557485,50001,50001,-292.63446,297.60175,52.781166,358.8095,30.669401,297.36685,52.98293,360.09186,24.854538,297.6747,53.115475,358.81247,25.329197,5.3528643,3.4449952,17.75739,-3.547288,-0.052568052,1.745965,5.1578307,-4.9744983,-1.7789203,0.69258153,-0.13308702,-3.615251,0.05568608269095421,6.795350074768066,59099,1420,376.53846153846155,132.1287922879767,886,240,3.6232007016841647,0.9682450372328659,6.134362251052836,0.8923224048674157,1364.2744180572302,520.594324646761,3386.6876709863345,823.0741930699309,0.114310406,0.61568344,1.0,-0.99999917,26,1364.2744180572302,58038,222,332.82758620689657,69.45306972462487,647,287,3.740291335170196,1.0945078865740008,6.209878728424383,0.9122577236615332,1244.872136795266,286.0679146504374,2535.0782233293594,1055.4416683601253,0.09523856,0.62002647,0.99999917,-0.999995,29,1244.872136795266,20.915274582002894,0.039266652005608194,23.157534343990847,562.7233107119973,606.8353862899967,3715.818064443054,5
1199953,15.831817,9.359497,17.20226,8.662598,7.01045,7.064948,322.5285,69.82724,393.098,-4.2963605,321.8475,69.74762,389.6215,-5.6119,309.44965,69.546364,387.22144,-10.955527,308.62418,69.08728,383.33282,-11.811183,321.39145,69.649734,389.7831,-9.386631,320.71118,69.53548,387.70883,-7.7530885,0.039893445,0.61206156,0.99999857,-0.9997963,3.4009833,0.8055391,5.36909,0.89344794,60001,60001,-317.657,321.73688,70.07554,391.95715,-3.293649,321.24164,69.80122,388.3567,-3.8424106,321.75644,70.262634,389.5966,-1.7244849,3.7022393,3.1050806,15.725005,-3.6374936,-0.047246102,1.5033103,4.9062476,-4.1224337,-1.4245678,0.5453498,-0.050395086,-2.8255463,0.1338665634393692,1.412206768989563,69093,1449,344.62068965517244,138.2402740341671,1000,248,3.680458850024459,1.0743389092075757,6.465824847956818,0.8836619361230468,1268.362267142912,490.10381297974556,3567.990402808629,875.1215048852664,0.084732786,0.6257493,0.99999994,-0.9999981,29,1268.362267142912,67815,242,488.85,296.33516075552023,1000,301,3.621342809068432,0.865622739008555,6.085866338350804,0.9132975917096763,1770.2934322131034,1061.0421438660999,3702.9784126721943,1102.2528495886554,0.07794901,0.5700132,0.99998796,-0.99995166,20,1770.2934322131034,22.956093344007968,0.047392242995556444,25.28336628199031,560.756300441004,609.0431523099978,4324.866623436043,6
1199953,16.620502,10.070557,15.482743,9.983887,7.1437435,7.3112082,343.12485,63.965103,394.82803,10.286646,342.9484,63.62231,394.32346,9.787042,329.62625,63.704998,392.80853,-5.4441037,329.1003,63.545807,392.1233,-5.3399405,341.99567,63.64347,394.62866,8.196709,341.7897,63.28465,392.68436,9.310916,0.063600294,0.6271438,1.0,-0.9997427,3.458648,0.77015966,5.2057333,0.9237475,70001,70001,-339.07803,342.46768,64.38535,394.3322,10.396297,342.27643,64.1501,393.36197,10.506783,342.42633,64.02352,393.1375,11.595046,3.304253,3.113607,13.485237,-1.9830792,-0.07116741,1.4706601,3.976073,-4.1992564,-1.2545248,0.47035438,-0.3260491,-2.5001597,0.20912663638591766,0.4761044383049011,78397,1459,930.4,208.8,1000,304,3.5924245508433876,0.6863323718224263,5.8035508590402,0.8545187800873103,3342.391802104687,746.2582249588431,3680.411525851163,1107.3017301644309,0.0826911,0.5802239,0.9999954,-0.9999705,10,3342.391802104687,77766,262,497.55,329.20426409753566,1000,257,3.702872650227073,0.9245349021477972,6.318784985112878,0.8900004909097603,1842.36428712048,1187.3399798952796,3721.403160343397,965.9609593878841,0.06517928,0.57364035,0.9999044,-0.9999134,20,1842.36428712048,22.37459281399788,0.06820833100937307,27.579872519010678,556.4665489340114,606.4892225980293,4931.361638292074,7
1199953,22.291798,10.742432,20.522507,10.585205,7.2722015,7.1517234,342.0433,68.72391,402.91467,7.6064253,342.48172,68.86843,402.81,7.744008,328.3866,68.700554,401.74307,4.1245146,329.0463,68.88034,401.61026,2.2734494,341.1371,68.509514,402.31277,7.399274,341.52408,68.627556,399.44803,7.1599236,0.03964669,0.6204179,0.99999964,-0.99971986,3.5382433,0.76347363,5.171782,0.871321,80001,80001,-338.5058,341.2766,69.1176,402.04083,9.439965,341.73376,69.27034,401.6933,9.042892,343.5084,69.31547,402.8221,10.151427,2.8249927,3.0445397,14.538179,-4.5670977,0.02125074,1.4285431,3.4236014,-3.9683118,-1.2242308,0.470259,-0.29797208,-2.387248,0.21288852393627167,-0.2707338035106659,87426,1472,694.5384615384615,334.12218294524337,1000,249,3.655446681859168,0.7679180849937502,6.03431232074612,0.8535456469471724,2538.84831465434,1224.2387035476427,3651.842418135843,879.8280513615463,0.068682775,0.5953716,0.9999585,-0.9999866,13,2538.84831465434,87674,273,900.7272727272727,216.61616279370998,1000,335,3.66663170174275,0.6529760362427933,6.39591539607524,0.888589101118103,3302.6351728061054,761.1942764664934,3671.0206582542314,1283.885329896622,0.08422269,0.5736423,0.9995696,-0.9999473,11,3302.6351728061054,22.148423001999618,0.046205060003558174,25.373206722011673,556.0970610980003,603.6648958820151,5535.034297707098,8
1199953,17.934275,11.766113,17.766977,11.698364,6.9890466,6.793492,344.3357,77.34501,406.5382,15.448716,345.69614,77.91409,408.872,4.024611,331.20786,77.20138,404.38324,12.86028,332.92538,77.4443,406.2653,1.681927,343.26605,77.094,406.43524,15.885797,344.5772,77.697975,407.93686,4.95985,0.08918822,0.61066514,0.99991095,-0.9996753,3.5443919,0.7869513,5.465935,0.84512025,90001,90001,-341.0143,343.3931,77.82237,406.12244,15.630059,344.77316,78.20678,407.9625,4.5737185,343.64053,78.484566,405.15604,5.9945326,3.006002,3.0458782,12.569799,-5.9379406,-0.008620652,1.3901508,3.1001422,-4.0640664,-1.2359047,0.4824184,-0.25397098,-2.3998306,0.21721486747264862,0.009163819253444672,96717,1483,844.6363636363636,270.32077669696343,1000,303,3.6519289233955528,0.6771850723316646,5.794426378997227,0.8719783805722213,3084.5519661152794,974.3055677996498,3660.3039568708937,1109.909733185846,0.096172884,0.6020138,0.99995667,-0.9999971,11,3084.5519661152794,97674,283,1000.0,0.0,1000,1000,3.6239889207126224,0.6297345629150535,5.73507837233794,0.882879317975508,3623.9889207126216,27.878003177879034,3677.204127662319,3573.665855655789,0.08733423,0.5497365,0.99899733,-0.99973303,10,3623.9889207126216,24.59026555500168,0.04149274100200273,26.58301925798878,551.3555777250003,602.5703552789928,6137.610444769132,9
