replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
200918,37.217655,27.380997,37.208313,27.38098,0.00012601714,0.00017000493,0.0030128048,0.0006464888,0.0045474954,0.00064008584,0.0045248233,0.0008218242,0.0067766174,0.0018742124,0.0030039256,0.000646438,0.004528079,0.00074504915,0.0045229485,0.0008276177,0.0068356143,0.0018206156,0.003001549,0.000654789,0.0046038935,0.0006445776,0.0045224177,0.0008196708,0.006811372,0.0018710496,0.048511505,0.58354515,0.9997461,-0.99986756,2.952782,1.0702202,4.8794794,0.6688786,1,1,-2.0223417,0.0030433296,0.0006079157,0.004314441,0.0006814543,0.0045633665,0.000828425,0.006714701,0.0020404193,2.9511142,1.0701487,4.8773212,0.66705024,-2.01938,0.3654988,-0.928637,-2.7302852,-0.00043992614,0.0014455267,0.0024664735,-0.0022513808,-0.00056191906,0.0005997588,0.0012704069,-0.0020119871,0.9998999834060669,-0.0,9992,516,19.364341085271317,2.845336139039807,29,11,0.19033364376221015,0.6195336848860012,1.0840464256708038,-1.504043031470473,3.685685597813961,2.0509775327786657,12.142730727958382,-0.47278211488499067,-0.0010405026,0.7111169,0.9993282,-0.99946797,516,3.685685597813961,9912,73,135.78082191780823,12.590762623210724,181,106,0.9131879477178227,0.09071716734865996,1.1053592565341839,0.546967739372776,123.99341010656244,15.083606033529092,186.52999529063214,91.65639193301881,-0.00040647708,0.0012481041,0.0014573471,-0.0015421724,73,123.99341010656244,17.31049614000949,0.07186892500612885,30.85132046599756,1240.6334720529994,1288.8671575840126,1298.0921665380156,0
200918,22.970367,16.539597,23.525742,16.990082,3.0407498,2.9388647,31.55827,12.727233,60.169216,-12.620268,31.604916,12.621567,60.40933,-12.183145,27.371973,13.463462,54.283447,-20.797546,27.586401,13.328577,54.48817,-18.990225,31.407932,12.65437,59.88781,-14.3877125,31.490046,12.558142,60.383293,-13.392918,0.03566985,0.5675501,0.9987643,-0.99923253,2.9943225,1.0665697,5.286959,0.16090097,10001,10001,-31.779734,32.78827,12.29838,57.787724,-5.265358,32.73991,12.192391,58.03449,-6.172185,33.315163,12.5461235,60.5553,-5.621499,-0.73332244,1.4874545,4.556044,-4.5092573,0.044858184,0.6482199,1.994926,-2.5550754,-0.56061965,0.4895615,0.5287741,-2.0010185,0.3758966624736786,-3.6524670124053955,19925,588,137.95833333333334,38.57296026867641,232,83,2.7476349966339884,1.0612673711665161,5.478312146722433,0.8510178502270282,379.05914474396394,156.322410932536,734.8551101944886,167.39469823274487,0.08860564,0.56920904,0.9999986,-0.9999942,72,379.05914474396394,19838,158,116.7764705882353,19.636326762399406,140,86,2.592713914311017,0.9416377796366835,4.291775494374459,0.9964725472766071,302.76798015824886,77.81120960434413,387.0518495760628,185.68490081823623,0.040102024,0.39642575,0.9736993,-0.95703053,85,302.76798015824886,46.0006931960088,0.04120325099211186,33.995080143999076,1238.8597499229945,1318.8967265139945,2616.995143133012,1
200918,19.911266,14.96582,20.188942,15.114868,3.798758,3.9298215,80.34106,27.639576,141.56796,3.7182784,80.08213,27.511679,141.69868,3.439819,74.16944,27.772968,139.56879,-5.01583,73.69761,27.468176,139.72725,-3.9829285,80.079796,27.888157,141.60988,-5.6660395,79.82259,27.70959,141.76295,-6.132343,0.076725535,0.55993664,0.9999914,-0.9984473,2.950062,1.034551,4.9288654,0.84373254,20001,20001,-79.71449,80.92932,27.728937,141.19266,6.004077,80.64887,27.577875,141.49017,5.2757487,80.56215,27.730837,139.64006,4.6089997,0.12865558,2.2427704,7.561199,-4.868861,0.06409548,0.87267476,3.2397408,-3.340347,-0.74200267,0.520568,0.51284885,-2.2212272,0.14151649177074432,-5.614168167114258,29912,637,203.81632653061226,110.75560030423075,543,104,2.8698181474846645,1.0252430506530756,5.76813804853725,0.8578803540849104,584.915792631211,386.1197723756167,1671.8362628309817,234.35300778787516,0.088643,0.56529933,0.9999988,-0.99999434,49,584.915792631211,29740,232,133.8108108108108,11.471086656124411,154,100,2.4972167780638594,0.7959109626460186,3.9342874653284072,0.9927066984230836,334.1546018430856,40.63738262000864,395.0866716016672,210.61241706018131,0.035566244,0.46801174,0.99427086,-0.99258626,74,334.1546018430856,45.6598869599984,0.04492934599693399,33.65589399301098,1204.1801606390072,1283.5408709380135,3900.541787392038,2
200918,32.043274,16.610962,30.130825,17.112427,4.4649005,4.604306,106.88257,42.98928,181.52533,5.7040415,106.35486,43.076668,179.68971,5.2100787,99.94035,42.160484,179.69923,-5.442202,99.31618,42.226376,177.98671,-4.7996116,106.67189,42.835888,181.13712,-1.6440394,106.14929,42.89025,179.68324,0.87243426,0.06623129,0.5601521,0.99984,-0.99969697,2.9943943,1.0680492,5.322466,0.78544366,30001,30001,-105.787,107.304504,42.76981,179.91023,7.0777526,106.75389,42.781116,178.19357,5.992893,106.12214,43.101982,179.75407,4.219674,0.18508759,2.3340054,7.0934505,-5.3363934,0.04707705,0.9240038,3.7952666,-3.3659391,-0.7460084,0.5312591,0.6354,-2.4000437,0.05265830084681511,-8.286628723144531,39738,677,245.65,31.788008745437327,353,205,3.3110886519894693,1.0689560946456251,5.747391035635474,0.8468411576495598,813.3689273612132,105.25892464361087,1112.3498651999441,657.983877186529,0.073168755,0.56654185,0.9999984,-0.9999979,40,813.3689273612132,39688,312,124.35,2.7617928959282954,132,118,2.1532934882901733,0.47975088768885393,2.9535315976828174,0.9861806178743178,267.76204526888307,4.4611848921231045,280.7320141932045,257.2292915873162,0.083376475,0.49735254,0.97134966,-0.96303684,80,267.76204526888307,40.24841409700457,0.039505715991253965,28.0523705920059,1136.9807679460064,1205.321058351008,5105.868611919024,3
200918,33.993713,19.871887,33.766045,19.717712,5.3933086,5.596096,124.06035,50.9539,213.3679,1.7788477,124.19346,51.069664,214.73257,2.4262261,115.80056,49.457775,211.75911,-7.630628,115.62815,49.66582,211.25394,-14.292298,123.90552,50.904976,212.8843,3.8360386,124.06596,51.010048,214.17238,4.9072976,0.044688523,0.570304,0.99999344,-0.9997707,2.8764508,1.0494273,5.2389183,0.4501748,40001,40001,-123.19887,124.08705,51.020702,213.61647,4.6897187,124.26982,51.15969,214.15216,7.5873914,123.45859,51.351437,215.95789,5.030834,0.44635624,2.262926,8.688324,-4.328288,-0.01014801,0.9343066,2.8021872,-3.5391417,-0.81274825,0.5447763,0.6100381,-2.5865822,0.01950165070593357,-10.054094314575195,49487,709,304.65625,41.37451614143058,417,260,3.311329892723753,0.9501370166396168,5.708506185931296,0.8018423063078797,1008.8173476301207,143.44113028025197,1399.05254625536,864.2756391309127,0.04528802,0.55136216,0.99999624,-0.99998075,32,1008.8173476301207,49604,416,95.34615384615384,3.5430572162850864,128,91,1.8952125274135827,0.31084212154919066,2.8503237137958295,0.9903288366135876,180.70122520993348,9.543991087761,274.455945983549,173.35822915187117,0.15964192,0.41423038,0.9804553,-0.9342392,104,180.70122520993348,37.94053285701375,0.04118648900475819,28.67419566900935,1127.4962862190005,1194.1522012340283,6300.026490642034,4
200918,17.763079,9.467773,16.888832,9.582275,6.130781,6.4635067,194.64436,64.65486,294.3178,7.751267,194.11502,64.45444,296.40112,9.512464,183.37395,64.75275,288.4787,-5.4456754,182.30078,64.80582,289.2553,-9.222505,194.08493,64.77556,294.4272,2.909271,193.57356,64.58057,295.61905,0.9926148,0.028841302,0.5693338,0.99999976,-0.9993333,2.9088006,1.0419943,5.4934373,0.58595395,50001,50001,-188.25392,193.20053,64.90688,293.46533,9.307761,192.68405,64.82713,296.7945,10.88643,192.88496,65.05346,295.55026,4.990436,5.27669,3.0107708,13.481145,-2.6728616,-0.015214081,1.5869713,5.714553,-6.059943,-1.9623733,0.85768074,0.20486775,-3.7335188,0.052328262478113174,6.716936111450195,59404,755,215.58695652173913,3.96493372364435,235,212,3.2015191344948706,1.0212723173794318,5.848665269326816,0.8595280159131155,690.2057664518617,18.271738374986455,779.6983181574811,679.7835520481538,0.03793324,0.56916183,0.99999964,-0.99999964,46,690.2057664518617,59405,460,222.75,4.369964634764326,236,220,3.187845463867832,1.0040898117394197,5.912445097437462,0.9574210992760464,710.0925770765597,24.7194708648868,780.1311271047489,697.3066307271749,0.040615946,0.55853087,0.99992394,-0.9999351,44,710.0925770765597,36.39279341600195,0.03957498900126666,29.45776205600123,1122.0864321910049,1187.9765626520093,7488.008756077048,5
200918,40.123604,16.05487,36.038933,15.943787,5.6623588,5.816815,204.95956,83.197945,309.11823,-0.71890634,205.46426,83.41682,309.41177,-0.95168453,194.78098,83.649925,307.02893,-20.682213,195.11275,83.82553,307.79895,-25.893969,204.32489,83.31609,309.13217,-10.313139,204.75366,83.52009,309.39062,-12.558926,0.09334823,0.55038124,0.99999666,-0.9994128,2.9405289,1.0260383,5.308165,0.4501748,60001,60001,-200.9863,203.34227,83.41946,309.1967,-0.9154443,203.87122,83.66139,308.6184,-0.7447625,203.25993,84.09003,308.15277,1.4628607,3.350586,2.4494286,14.248249,-3.2086968,0.10859129,1.25714,4.7772503,-4.430952,-1.5713726,0.70013,0.043897178,-3.0697033,0.1246519461274147,0.7300260066986084,69384,793,262.63157894736844,8.461743793878481,279,252,3.348941536679946,1.049602746613038,5.434796832821534,0.8537362315979419,879.5378035806806,22.476070768266496,922.7832319252881,851.5510298856244,0.070651725,0.5582489,0.9999912,-0.99998134,38,879.5378035806806,69191,496,271.8333333333333,1.5898986690282426,275,267,3.3336886179001217,1.0044778639654972,5.036909990739475,0.9017537506698088,906.2076892991831,5.267573049064876,915.0056811514507,890.6086854227696,0.030661866,0.51806927,0.99928993,-0.99935955,36,906.2076892991831,37.99880270299036,0.052515226998366416,32.17455122100364,1120.0094272970018,1190.2352964479942,8678.250371112037,6
200918,27.433334,14.677856,26.39307,13.947632,5.778519,6.0292635,209.01079,84.081764,322.17365,0.43052733,208.91931,83.79613,324.2267,2.9038978,198.57889,85.91121,317.93137,-8.072113,198.06764,85.663734,318.00027,-7.453212,208.65845,84.007,322.0734,-5.177312,208.41963,83.89537,324.02292,-2.1956444,0.08249561,0.5771167,0.9998302,-0.99909025,2.935018,1.0374216,5.1974516,-0.32735524,70001,70001,-204.60275,207.59534,84.48912,320.50253,-0.41527593,207.66138,84.338844,323.22202,2.8069139,206.66403,85.079346,319.30753,2.9975336,3.4398437,2.680541,11.157786,-3.2176514,0.020798417,1.3637866,4.4699283,-4.3686185,-1.4386724,0.66970646,0.09847013,-3.0109065,0.1791614145040512,0.7563012838363647,79178,819,376.6923076923077,46.45325957824474,466,297,3.354332530208544,0.8792806837062723,6.088390128103379,0.8673022411255134,1263.5512615716339,156.32350353907594,1585.769034524248,1010.2861616353642,0.048336573,0.55994743,0.9999986,-0.9999714,26,1263.5512615716339,79078,524,353.10714285714283,8.059330376802343,384,335,3.3253538899262836,0.8702403848219715,5.761261270547196,0.9807211728605526,1174.2062110607562,28.44876692857211,1298.950370497875,1120.1604605894277,0.032385245,0.53605187,0.9995111,-0.99962914,28,1174.2062110607562,36.210850126997684,0.06296296999789774,31.13113679899834,1116.475988678998,1183.880938574992,9862.137899568013,7
200918,28.212906,17.312378,28.155827,16.663696,5.9534903,6.0475645,210.83072,74.310776,321.15808,-11.910346,210.42871,74.585976,318.36835,-22.617031,200.20154,76.17779,318.5911,-24.080141,199.65169,76.09287,316.70935,-39.241318,210.23776,74.43706,321.70453,-12.267286,209.84065,74.63518,318.31287,-23.929468,0.058500335,0.5786777,1.0,-0.9999819,2.9027488,1.0355729,5.130844,0.60260564,80001,80001,-206.6817,209.11276,74.728096,320.51492,-11.536019,208.82558,74.88433,316.11447,-21.303745,209.30911,74.53078,318.274,-23.723246,2.9919152,2.5359492,9.903339,-3.4957898,-0.010082451,1.2750969,3.72407,-3.8514786,-1.3813772,0.6092427,-0.037660554,-2.8381164,0.1813545674085617,-0.013803377747535706,89052,852,299.2121212121212,19.928292018464262,341,275,3.3342931580018864,0.9869488935810757,5.9962735902362585,0.8439580818696301,997.6609285488069,74.93023359291027,1138.4319980497419,914.6105902512211,0.050220065,0.55591637,0.9999182,-0.9999809,33,997.6609285488069,88966,555,318.96774193548384,7.2888950929025045,334,308,3.3576199031126945,0.9778679304323543,5.607611308607483,1.0022855757707358,1070.972438773494,25.683254324543256,1121.2666618224048,1027.9160545337004,0.06303778,0.5356885,0.99817854,-0.9989588,31,1070.972438773494,38.98675315899891,0.03879978199256584,30.22395453401259,1112.4769865209964,1181.7264939960005,11043.87205355303,8
200918,31.994991,15.379517,31.28249,15.480835,5.8865724,5.9730225,209.79805,81.206314,320.22382,2.013789,209.66382,81.28267,318.46075,2.091868,199.28833,84.15278,320.749,-24.258589,199.06177,84.00862,318.07095,-20.80098,209.30246,81.38729,320.21817,-11.313489,209.19751,81.4295,319.1644,-12.810922,0.07713681,0.57650024,0.9995949,-0.99970025,2.8857608,1.0863624,5.0452647,0.24174841,90001,90001,-205.78098,208.45885,81.645615,319.01517,1.8395202,208.30078,81.72486,318.06888,2.2817364,208.16962,82.31923,317.3438,0.27766767,3.0870318,2.6683896,9.548313,-3.6300013,0.0048672655,1.3191931,3.580476,-3.8163898,-1.3881097,0.6446478,-0.0718893,-2.996365,0.1800026148557663,0.1492454558610916,98889,883,317.3225806451613,22.242631395695668,361,280,3.3246637614968693,0.9662867311002726,6.155100222448051,0.9332167706207112,1054.9908845756358,74.78673098554401,1185.3076977889425,924.3793062117804,0.057745993,0.5576435,0.99997616,-0.9999961,31,1054.9908845756358,98906,584,342.7586206896552,8.908172042118725,357,324,3.3374201199863993,0.9019583722537309,5.339251000630569,0.9776220647789097,1143.9295169884417,27.2560601352782,1184.8649392217478,1086.316895087488,0.030205183,0.5373978,0.99693507,-0.9997,29,1143.9295169884417,42.42422709400125,0.0478650310105877,29.139586595003493,1107.5029382100038,1179.114616930019,12222.99222896302,9
