replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
999981,37.560326,27.378511,37.571648,27.378492,0.00017507943,0.00024249071,0.0016319568,0.0009233547,0.0040304624,-0.00044569012,-0.00038605736,0.000850443,0.002444505,-0.0023661433,0.0016378459,0.00092015817,0.003969434,-0.00033889385,-0.00037998092,0.0008484822,0.0025664284,-0.0024976144,0.0016350013,0.0009227781,0.0039955843,-0.0005284359,-0.00038234837,0.000843604,0.0023828072,-0.0025287315,0.0018651889,0.6107534,0.9995622,-0.9999934,3.0525308,0.95907104,4.409409,0.75572366,1,1,-2.0185838,0.0015871977,0.0009292231,0.0038979286,-0.00017126335,-0.00042687013,0.00085336453,0.002175882,-0.0017910742,3.0448186,0.9591204,4.399647,0.74796623,-2.0190904,0.3902154,-1.0313737,-2.75843,-0.00010124046,0.0005565793,0.0011923637,-0.0011532496,0.0013178551,0.0007216825,0.0028737537,-0.00017296695,0.9998999834060669,-0.0,9973,360,27.70277777777778,12.338422060807341,54,10,1.3517574688796747,0.530621295413445,2.5935994691332644,-0.5899126855975975,37.44743676982499,21.541746027085832,75.17062698421631,5.399200419481387,0.2818486,0.62289625,0.99968153,-0.99915427,360,37.44743676982499,9906,68,145.6764705882353,17.280081338716677,200,116,0.9475186581826472,0.0781680216539975,1.475986338005955,0.5811434598351951,138.03117394054857,20.890904738810004,202.53673855386467,105.47804433117273,-0.00026801624,0.0005112901,0.0006158221,-0.0008312241,68,138.03117394054857,19.908453131996794,0.05244418900110759,38.90753031699569,1255.4941081750003,1314.3625358129939,1328.8702050260035,0
999981,24.528233,13.294327,24.72672,13.195831,4.552553,4.3153944,22.72594,26.766544,89.5177,-39.605347,22.460802,26.825417,86.91017,-41.014317,15.9932,27.478146,89.60388,-44.799854,16.123835,27.230001,86.37733,-40.789543,21.9546,26.953478,84.85656,-38.46389,21.710213,27.035229,85.80594,-37.698624,0.00051227305,0.6186527,0.9991616,-0.99999696,3.097336,0.929531,4.8965716,0.8108948,10001,10001,-22.125343,24.253704,26.580408,88.47776,-23.822954,23.967518,26.626837,86.278595,-23.935713,25.05525,26.973516,86.837975,-27.74504,0.05152961,1.9258511,6.473046,-6.3913574,-0.01748521,0.8152093,2.0721989,-2.5638142,-0.68187875,0.49445853,0.7227874,-1.724639,0.3833998739719391,-2.826347827911377,19744,428,143.69117647058823,166.92682945750082,592,22,2.8317063453409324,1.0548708217271725,5.633515295559548,0.7375161258007087,406.8912161812684,534.5377385426913,1718.415278996212,21.478175199041278,0.05822801,0.5957641,0.9999657,-1.0,68,406.8912161812684,19612,95,359.48148148148147,116.19248728514644,550,28,3.312795788802535,0.9419098684264771,5.2405340121086335,0.8239727026655902,1190.8887380043484,416.195533202583,1859.006827668034,31.581915650933933,0.01585091,0.5212494,0.98670155,-0.9990601,27,1190.8887380043484,24.652328730997397,0.04615724700852297,42.563202919991454,1252.6707504649967,1319.932439362994,2648.80860505499,1
999981,16.283634,10.337677,16.513767,10.224335,5.581088,5.281592,97.067726,34.017544,154.35947,1.7119848,96.91483,34.13733,154.4115,-0.5007916,87.0504,32.75376,145.35757,-14.023643,87.40495,32.70158,147.25024,-23.473597,95.688385,34.053745,154.4375,-13.629554,95.53928,34.27095,154.12834,-25.465015,-0.012619313,0.6184517,0.999702,-0.9999935,3.1763616,0.8883675,4.7660265,0.79019976,20001,20001,-94.97943,97.44449,33.930645,147.78197,2.03469,97.28187,34.16606,151.199,0.99398416,97.757164,33.980766,151.62872,3.375393,1.4166125,2.2192805,9.503081,-4.6581225,-0.11408064,1.1207564,2.856916,-5.239835,-0.9410045,0.52654356,1.1532716,-1.9892826,0.14800255000591278,-3.0249505043029785,29426,453,387.28,147.1775852499286,1000,259,2.9907033045095424,0.7874846766534478,5.214463045981478,0.8017692453133426,1158.2395757704558,443.74357765984183,2937.6998094540822,726.9231143101285,0.06381404,0.61873496,0.9998763,-0.99999994,25,1158.2395757704558,29273,116,460.04761904761904,262.52609415709264,1000,315,2.9955691312274495,0.6907008854455641,4.308739655187752,0.8063978685180849,1378.104446513733,809.3680287671206,3093.334182582951,934.5847340057888,0.058887877,0.5378353,0.9922642,-0.9980908,21,1378.104446513733,24.089116365998052,0.037745783003629185,42.94883395200304,1214.057341748994,1281.1330378499988,3929.947216999004,2
999981,14.577946,10.248596,14.739158,10.279968,6.0592713,5.67138,145.01514,43.759327,210.57216,12.520041,145.01126,43.87594,209.73111,12.911817,133.94612,42.114807,204.42781,-2.5289967,134.63614,42.110847,203.0302,-6.797252,143.78615,43.66844,209.667,8.437572,143.78093,43.766026,208.94637,7.5715303,-0.012480784,0.6213272,0.9988794,-1.0,3.1877913,0.8579854,4.944246,0.8710001,30001,30001,-142.99672,145.25763,43.81794,210.00749,14.591476,145.23471,43.988964,209.28134,14.510049,146.05768,43.947777,209.12048,15.325672,1.5125587,2.0686119,9.304021,-4.1314025,-0.12212131,1.1222738,2.9497442,-4.159771,-1.0077443,0.50804293,0.97544026,-2.086916,0.05597354471683502,-4.287962436676025,39248,475,446.45454545454544,199.03670910223556,819,27,3.1141542902264687,0.7852996044436127,5.584429433614356,0.7799315757991713,1390.3283381183805,644.4723380067697,2615.3223191118877,30.14168611058748,0.07428903,0.6249962,0.9999943,-1.0,22,1390.3283381183805,39189,146,330.53333333333336,6.333684200807265,360,325,3.1184639287419182,0.8766224477215208,5.289940606561821,0.807708897596085,1030.7562772468289,25.879782478459756,1123.3147796768887,1006.8284616601651,0.045662753,0.55782294,0.99529296,-0.9999961,30,1030.7562772468289,21.965214024996385,0.04217181900457945,44.183252133996575,1140.9518585490005,1207.142496526998,5137.095491900007,3
999981,14.288608,10.002014,14.115457,10.082153,6.0063925,5.7372227,179.99721,55.297913,243.93333,5.356126,180.03882,55.345417,245.90558,4.8998775,169.16757,54.094997,243.39122,-9.249403,169.66435,53.96839,244.72714,-9.126217,178.39342,55.09497,243.34807,-7.873925,178.44542,55.117733,243.32199,-9.63031,0.0639999,0.5968488,0.9999993,-0.9999601,3.1452143,0.8351645,4.4108663,0.8410018,40001,40001,-178.09602,180.11754,55.326122,243.22906,7.9218125,180.14676,55.36724,245.20975,7.1709437,180.02023,54.9337,244.15192,3.5442212,1.6929303,1.8512346,8.254378,-4.675102,0.06688673,1.0449038,2.9936154,-3.465694,-1.095235,0.49292627,0.70187867,-2.1397312,0.02093372493982315,-5.0535173416137695,49207,498,433.0,121.36613667096263,774,134,3.1236350933552073,0.8265615297863084,5.452525201112854,0.7594587221851243,1352.5339954228052,385.0781999726058,2368.777827446499,296.7319863646459,0.06612357,0.6308681,0.99999595,-1.0,23,1352.5339954228052,49054,183,266.6216216216216,94.97378055002832,308,26,3.024734249423834,0.8876076895190405,4.410776491179677,0.7946222793131419,806.4595505558415,307.43615552176055,937.4994083656464,28.111689044947322,0.03827181,0.5461081,0.99538696,-0.999831,37,806.4595505558415,20.434093652002048,0.03871979599352926,45.9367795290018,1127.0113830920018,1193.4209760689992,6330.524811389987,4
999981,6.2973957,2.1674805,7.0663285,2.2287598,8.041954,7.782058,241.13167,70.103355,311.89725,5.7627716,241.2955,70.08949,312.18262,5.4506373,225.93213,68.638504,308.97464,-30.310143,226.44882,68.853775,306.38666,-33.539955,239.35278,70.33269,311.05835,-28.008707,239.51328,70.42903,310.36533,-32.592064,-0.008988082,0.607557,0.9987044,-0.9999779,3.1214662,0.85286814,4.9656,0.80180055,50001,50001,-234.8964,240.05722,70.29127,310.40594,3.070916,240.17445,70.49891,310.14423,1.6751236,240.55411,70.25149,311.2325,3.927525,5.7652597,2.5694554,16.534386,-0.63215065,-0.097473584,1.6585442,4.504453,-6.4320602,-1.9695067,0.78812754,-0.022144698,-3.2652028,0.05894370377063751,7.829185485839844,58988,525,362.25925925925924,140.23857782565543,926,312,3.179640739190174,0.8700144168720227,5.137748973926392,0.7906394262186652,1151.8542988895958,451.6835583465857,2926.0153851939795,976.0972596090144,0.079281814,0.62418073,0.9999993,-1.0,27,1151.8542988895958,58962,214,319.61290322580646,3.525734143224539,329,315,3.166785236857706,0.9111135629661588,4.51132930085064,0.7966204281942751,1012.1454234447145,5.101340066660683,1020.6714438627466,1003.6505616628484,0.060049508,0.6017343,0.99985236,-0.9999931,31,1012.1454234447145,20.420539601007476,0.03825567300373223,47.216601282998454,1122.6728897660068,1190.3482863230165,7520.878573949987,5
999981,9.942118,6.2684326,9.487998,5.946167,7.6959004,7.5293374,258.53198,77.1281,330.45142,6.0569844,258.3762,77.23774,329.4979,6.043226,244.1377,75.3705,327.54932,-5.289841,244.19853,75.377884,327.12958,-5.615222,256.8167,76.86691,330.6839,6.044667,256.50293,76.904526,329.54794,6.033,0.054218326,0.61900806,0.9985057,-0.9999992,3.0153968,0.91022885,4.312858,0.79009646,60001,60001,-253.99887,257.86087,77.07605,329.71768,8.600304,257.7079,77.2833,329.10574,8.11813,257.69617,77.49793,329.40775,7.0285378,3.9535751,2.4489434,13.948598,-3.291049,0.029222691,1.4062463,3.7117772,-4.6878543,-1.5610805,0.63672704,0.20226091,-2.6821697,0.1454046666622162,1.8387932777404785,68949,549,415.0416666666667,150.16920433482875,1000,317,3.2564958834622404,0.8807098514407146,6.177283146083784,0.7766366288449328,1351.5814789653073,466.14377723977907,3155.3893280965003,1036.132733636345,0.07962005,0.62824297,0.99999106,-1.0,24,1351.5814789653073,68614,230,603.25,210.46154636892697,1000,420,3.215825238861876,0.7348814221357608,4.972395824442837,0.8058344961667382,1939.9465753434263,687.6564813299715,3228.6827926740934,1339.2454235931045,0.08313891,0.59368205,0.99944633,-0.9999173,16,1939.9465753434263,20.563342544002808,0.07238382600189652,49.90773047998664,1118.7146543550043,1189.2581112049957,8710.142257373984,6
999981,11.9491415,8.343994,11.639948,8.395264,6.4947004,6.40091,256.7188,85.2644,330.9442,0.636514,256.63232,84.86519,328.64435,0.72971374,244.65776,84.36622,330.53146,-25.65406,244.69731,83.99367,326.49313,-21.182335,255.0455,85.44368,332.0512,-27.399063,254.90103,84.97352,328.86905,-22.044327,0.02856829,0.5994639,0.99981433,-0.9999959,3.061113,0.83753926,4.4293647,0.77148634,70001,70001,-253.21098,256.1961,85.29767,331.13876,0.33521312,256.0758,84.90775,327.10193,0.8637828,256.17862,84.78001,326.07544,3.6190946,2.9361339,2.2126133,10.889591,-4.187416,-0.052673038,1.2850068,3.330505,-4.223657,-1.3507143,0.57388395,0.38849366,-2.4294925,0.2712341248989105,-0.08333112299442291,78105,567,508.6666666666667,228.7405128573035,1000,311,3.113738992581686,0.8497739432469912,4.969110381697771,0.7650064778985216,1583.855234226551,629.0720235483085,3139.4631191085377,953.222596383917,0.08598081,0.61862594,0.9999754,-0.9999919,18,1583.855234226551,78084,242,789.1666666666666,195.66333046559564,1000,443,3.158777289862804,0.6437166437703293,4.484532190680187,0.801893373569023,2492.801744583396,592.8167318116722,3191.1436114317053,1383.8587361153977,0.090029806,0.58032954,0.998763,-0.99944776,12,2492.801744583396,20.719869278007536,0.03613508399575949,53.82014169800095,1113.9566332940012,1188.5327793540055,9898.684287138967,7
999981,13.359392,8.805298,13.66107,8.274658,6.616503,6.5373244,244.83305,83.82043,322.4693,0.8359189,244.73486,83.75683,322.75772,-0.07783177,232.55884,81.803795,317.55606,-24.298647,232.5394,81.70303,317.3051,-22.627209,243.29446,83.890755,320.70844,-21.714415,243.0293,83.74008,321.51895,-23.25117,-0.0015164638,0.6306903,0.99875385,-0.99998,3.078106,0.89481485,4.8412843,0.7457068,80001,80001,-241.3873,244.25931,83.67827,322.2719,4.2505717,244.1932,83.621216,322.60324,2.2004557,244.34924,84.31285,321.86847,3.815248,2.8517315,2.2752254,10.314252,-5.701876,-0.080163516,1.3033894,3.2293987,-3.8013408,-1.3148059,0.5791798,0.38094926,-2.506523,0.2797837555408478,-0.18886207044124603,87693,587,479.4,114.83527332662207,860,347,3.2573826852507914,0.8061576807521289,5.09995198321887,0.7678577834169946,1561.5892593092294,397.32202750750923,2856.129074506712,1144.7971569419112,0.0412156,0.62577546,0.9999031,-0.99998575,20,1561.5892593092294,87716,263,458.6666666666667,72.77972855740043,660,375,3.2518772458946854,0.8391233874448351,4.942029945955962,0.7980281461082837,1491.527696783696,259.1799079619482,2173.64906688325,1191.4683986140012,0.03734585,0.5860012,0.9982091,-0.9992131,21,1491.527696783696,20.272977957996773,0.052172860989230685,57.18591150200518,1108.803900769999,1186.3149630909902,11085.004707289932,8
999981,11.003081,8.392456,11.458089,8.434937,6.0122705,5.9810495,251.47632,78.99188,318.21027,5.193087,251.99934,79.05977,318.20367,6.152769,240.24942,78.076355,316.77853,-9.19858,240.73257,78.20114,316.1324,-9.989695,249.8522,78.6532,317.3474,6.877396,250.27994,78.73588,317.51248,7.407555,0.025298044,0.5970857,0.9975096,-0.9999998,3.1886284,0.84686613,5.4524903,0.8071673,90001,90001,-248.14644,250.9106,78.97125,316.7452,6.247675,251.38243,79.10146,317.1326,7.2496824,251.32994,79.08537,319.2398,8.0183,3.0910783,2.2788827,11.613174,-1.8632636,-0.07722333,1.2910444,3.1110187,-4.1272655,-1.3532547,0.5776618,0.47770727,-2.5240161,0.2830531597137451,0.11494926363229752,97305,597,961.2,116.4,1000,612,2.954930933472726,0.6896094755335537,4.445174762693184,0.7655298298701516,2840.279613253983,348.7867148993299,3170.6918223373686,1970.8400804702164,0.11055477,0.5987204,0.9997435,-0.9999616,10,2840.279613253983,97026,273,931.0,168.44939893036127,1000,439,3.0945267978658286,0.5948140984153472,4.393553991982217,0.7881879067618661,2881.004448813086,512.6678758764253,3129.352057123538,1378.2441361111557,0.10997587,0.5796128,0.9960725,-0.99910945,10,2881.004448813086,20.131125874002464,0.04813557499437593,57.28619447199162,1109.0585786089941,1186.5240345299826,12271.535380567919,9
