replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
999999,34.78644,27.36699,34.786728,27.366934,0.00024901645,0.00016535132,4.7695015e-05,0.000951637,0.0019612373,-0.0028656553,-0.00014206202,0.0011056025,0.0021800008,-0.0024670584,5.0691044e-05,0.00095109217,0.0021915734,-0.0029912754,-0.00013690526,0.0011037319,0.0021897769,-0.0024062404,4.6869576e-05,0.0009546861,0.0019188952,-0.0029531715,-0.00014212079,0.0011043177,0.0021815998,-0.0024415953,0.035302382,0.61121315,0.9999607,-0.99994975,2.5530906,0.9576452,4.3631563,0.83760846,1,1,-2.0292988,7.8528275e-05,0.00084667944,0.0015676161,-0.0022891732,-0.00010059081,0.0010955478,0.0021568874,-0.0022954666,2.549812,0.95782036,4.3631563,0.8350945,-2.029718,0.3661215,-1.0665456,-3.6033335,-0.00093775074,0.00067154487,1.7719256e-05,-0.0028359015,0.00027669853,0.000742689,0.0021220325,-0.0011570128,0.9998999834060669,-0.0,10000,723,13.831258644536653,3.185681475855121,24,10,0.1906290724657284,0.5924594318526745,1.0563610038785498,-1.4466390690324962,2.6366400064416102,1.1778645730411907,5.438100478245094,-0.9690546904967432,-0.10834835,0.67570394,0.9993526,-0.9996878,723,2.6366400064416102,9876,77,128.25974025974025,12.959880748812626,174,98,0.9270658167727076,0.07248880632157072,1.020796453833616,0.5965979616949161,118.90522086295141,13.880274509794663,169.57562578282608,87.706096811446,-0.0009600737,0.00048327175,-0.00047975787,-0.0017478139,77,118.90522086295141,17.76915166899562,0.0498455649940297,41.51495657200576,1255.1289291059948,1314.4628829119902,1332.7230821190024,0
999999,27.500416,7.881069,28.246023,8.275181,5.155079,4.900705,-13.135483,21.734247,25.612679,-69.95848,-13.154215,21.779634,25.462925,-65.923775,-21.368734,25.225735,23.367083,-73.625626,-20.927557,24.76289,23.566383,-70.34694,-15.183032,22.120743,24.591156,-68.52334,-15.090988,21.995937,23.8245,-69.164696,0.027549386,0.6423338,0.9999756,-0.9999919,2.723482,1.0118421,4.4780054,0.8181434,10001,10001,13.8937235,-10.978001,20.362839,23.604528,-49.288433,-11.023987,20.405794,24.355371,-49.336895,-11.181513,20.37995,24.962107,-55.707577,0.4740075,2.2308733,12.469696,-4.19135,0.04174717,0.9524987,2.6543543,-2.6882677,-0.7385327,0.62994707,0.9212389,-2.0205386,0.38747459650039673,-2.3946733474731445,19944,809,115.62790697674419,5.36796378100089,127,104,2.6256961951837097,1.0239260981599443,4.53255966883635,0.7420055467676729,303.6037554058931,13.682061160260396,330.7303628324004,261.0688148913308,0.075749785,0.6703635,0.9999939,-0.99999994,86,303.6037554058931,19840,164,114.52873563218391,2.0557688969570154,120,111,2.6148246636187316,1.0099861822943015,4.427878182350282,0.8716638494841841,299.47256262410394,4.556452773496342,311.82885802390825,291.1451434283788,0.062293243,0.5384553,0.9754336,-0.9871584,87,299.47256262410394,22.74082773400005,0.04241463499784004,44.59763184300391,1251.2635689129966,1318.6444431249984,2651.374160612002,1
999999,14.057989,8.121613,15.036961,8.534851,7.2745714,7.245059,52.8438,18.097692,92.82724,0.20537086,52.846718,18.168064,92.97803,1.4142524,39.5484,19.163994,90.13391,-26.39502,39.518982,18.799498,90.96751,-20.6835,50.100628,18.381495,92.9539,2.4533722,50.12771,18.411179,92.89546,1.2229432,0.058940515,0.649686,0.99999434,-0.99999964,2.4965167,0.982606,4.4539375,0.80670834,20001,20001,-51.067833,53.258198,17.881588,93.10352,5.9468546,53.207394,17.9402,92.71034,8.31253,53.3021,18.15867,93.50603,8.40109,1.5258896,2.5750418,13.485167,-6.6077623,0.091622114,1.1886826,3.0709603,-4.4796853,-0.8344453,0.59640974,0.78547305,-2.1434183,0.15251916646957397,-2.7718708515167236,29834,895,115.0,2.2823896086298228,122,110,2.703226548977086,1.089545638856043,4.53585363841041,0.7693944257838453,310.8710531323649,7.763149122356472,328.2432657212,293.14917998818424,0.05574261,0.6694665,0.9999993,-0.99999833,86,310.8710531323649,29761,250,115.36046511627907,3.2166456264239662,134,113,2.6665397340982557,1.0556424518044387,4.496827246580203,0.8617547820484285,307.61326397661384,6.24283296233654,344.1265015576832,301.15059988472007,0.061395116,0.5864957,0.9951742,-0.99974567,86,307.61326397661384,23.214488431985956,0.061499331990489736,45.289169005991425,1212.37893764599,1280.9440944159578,3932.325741968947,2
999999,10.376537,6.351715,10.026028,6.269104,8.122033,7.809741,98.10907,30.778114,137.4805,5.655232,98.12114,30.751432,137.35992,5.013304,82.79818,38.99689,136.4419,-31.511148,83.32914,38.090466,137.4183,-25.207382,94.893616,31.652348,137.55959,-31.373812,95.045364,31.563633,137.12473,-14.741894,0.006997302,0.6378304,0.9997714,-0.9999883,2.6762583,0.9945212,4.449135,0.7905136,30001,30001,-95.84332,98.27707,30.619452,135.69183,7.1370296,98.33504,30.581217,137.09578,6.589127,97.99022,30.642447,136.35541,4.3079977,2.0022511,2.5898712,10.9360485,-5.288861,0.0171594,1.2657481,4.475325,-4.5329947,-0.977355,0.6183816,0.8285257,-2.2262619,0.05816122516989708,-2.8380355834960938,39792,980,117.15294117647059,2.7289553370903508,125,110,2.7361126688324098,1.0995205501009453,4.527648800553973,0.766985792412788,320.54364654391924,8.830626890542725,335.93273349321447,291.080983487989,0.05759567,0.67790437,0.9999998,-0.9999991,85,320.54364654391924,39680,338,112.7159090909091,1.5807712705883024,120,110,2.6644297957537435,1.070351256157386,4.531675194107438,0.8425644934335588,300.3236266372884,3.23066859219305,311.91337116093945,291.41920073746803,0.06782766,0.6003832,0.99832493,-0.999891,88,300.3236266372884,19.257947912003146,0.048351183999329805,36.11023274199397,1145.1330979829945,1200.549629820991,5132.885302005932,3
999999,10.801523,6.5248413,11.21228,6.7510986,8.49284,8.296988,108.07896,37.27171,140.53343,5.0203543,108.22815,37.25145,140.99777,4.5746446,91.80095,48.410225,138.92384,-43.575817,92.436226,47.140854,139.47838,-29.843033,105.05327,38.64968,140.07156,-5.6696506,105.20522,38.456738,141.24944,-1.3449755,0.04239556,0.6312652,0.99974185,-0.9999456,2.690937,1.0123137,4.408958,0.82636076,40001,40001,-105.67523,108.06107,37.321007,139.7063,8.55436,108.18065,37.27437,139.96951,8.478382,108.23631,37.242893,139.53845,10.779011,2.2054062,2.6607828,13.097836,-4.665134,0.04887208,1.299126,4.145848,-5.178171,-1.0360594,0.5995797,0.8466215,-2.3180516,0.021938370540738106,-3.0348896980285645,49719,1064,118.17857142857143,3.174154234129277,132,110,2.734184621794475,1.0938099811393531,4.541227437463187,0.7611962723259587,323.1220326256398,9.174080164855015,342.32883515588026,289.67051187652163,0.053450085,0.6732311,0.9999993,-0.99999994,84,323.1220326256398,49680,427,112.35955056179775,0.7680003366577557,115,111,2.690354528793514,1.0899782956831303,4.514843545206224,0.8092856278803211,302.28702570713637,2.81419043616724,309.471952744628,296.59225662016706,0.054757103,0.6044624,0.9987335,-0.9999091,89,302.28702570713637,20.489426018990343,0.0425424290006049,32.99728822299221,1135.2773947529931,1188.8066514239763,6321.698109440913,4
999999,6.513948,2.8201294,6.175906,2.4518433,10.640646,10.60262,148.693,46.379574,193.04747,5.2252645,148.87317,46.340527,194.0607,5.7579093,128.72543,59.23936,188.5183,-64.38033,129.06589,57.822697,189.29843,-48.102856,144.04358,47.70176,193.04994,-65.03034,143.96579,47.395737,193.51636,-52.302715,0.04508927,0.6156418,0.9999247,-0.999967,2.5978189,0.98450905,4.4250536,0.758987,50001,50001,-142.82642,147.60553,46.423397,192.13617,3.9171107,147.75394,46.39424,193.60704,4.931276,147.70468,46.23925,190.12617,4.4250536,5.643711,2.9187975,14.998212,-3.277645,0.08983926,1.6112639,5.919966,-4.9263864,-1.9369278,0.87870413,1.9683698,-3.4292161,0.06281726062297821,7.3167853355407715,59632,1148,118.01190476190476,2.233372677082629,126,115,2.709006018260397,1.0847223857458275,4.483916069515006,0.7554942985197022,319.69496022637287,6.514509639067166,334.12405946157924,308.89735570159905,0.061345495,0.6789371,1.0,-1.0,84,319.69496022637287,59567,510,119.12048192771084,2.0023936902210937,124,116,2.664017592909571,1.0456399470724276,4.448427454326576,0.7791515814727688,317.3390595312883,2.8893076594372333,324.78852229324076,312.1813549181531,0.05993419,0.6612633,0.9999832,-0.9998555,83,317.3390595312883,22.855512027002987,0.04016757900535595,35.65089132799767,1131.364410373004,1189.91098130701,7511.615609932909,5
999999,5.778756,3.6937866,6.139847,4.1413574,10.261301,9.858029,145.37637,51.721264,202.7689,4.393129,145.68596,51.654358,202.67458,5.464049,126.04319,64.92591,201.66982,-61.47061,127.14073,63.026756,201.49442,-45.479504,141.11005,53.078854,202.07219,-49.31595,141.41824,52.508877,202.5096,-25.647484,0.04768719,0.6484032,0.9997059,-0.9999733,2.5972934,1.0219059,4.5101757,0.8150069,60001,60001,-140.79326,144.72115,51.657486,202.02122,4.5150404,144.94763,51.620407,202.45872,6.190259,145.0248,51.521553,201.33826,4.482884,4.379392,2.576262,12.410572,-2.2561395,0.1790406,1.5177984,4.315397,-3.845785,-1.4605232,0.70175564,1.221402,-2.8176465,0.15718796849250793,2.5524351596832275,69573,1231,119.7710843373494,2.224319585714525,127,117,2.7147294933718498,1.0829971856827523,4.467969881296474,0.7639402289432917,325.14609510372964,6.5588496125018345,341.4544017737599,305.6148770368545,0.06332555,0.6874569,1.0,-1.0,83,325.14609510372964,69553,595,117.48235294117647,1.3513545684054102,120,115,2.710952307137445,1.0819604705343306,4.474522055617754,0.7846945391072888,318.4890557538179,6.75851681787675,330.8934637432413,309.33635712866464,0.06956871,0.6474501,0.9996695,-0.9990904,85,318.4890557538179,22.883274532010546,0.04068755899788812,38.8880180480046,1127.1658882289921,1188.9778683680051,8700.599259803887,6
999999,7.830184,5.2836914,7.845953,5.0615234,9.627707,9.033401,140.62524,49.491505,192.28937,4.9507856,140.81866,49.46123,192.5377,6.3719893,122.46504,62.21111,189.4426,-57.619343,123.70729,60.64523,189.44327,-41.501736,135.71277,53.141586,191.9649,-65.28657,136.14758,52.177723,192.30505,-47.158035,0.030141165,0.6503561,0.99998397,-0.9999987,2.601174,1.0162561,4.491636,0.8211566,70001,70001,-137.13718,140.21536,49.38457,192.05228,1.9145155,140.44739,49.278103,192.36919,3.73467,140.06363,49.724594,191.09135,4.0792017,3.293605,2.6995423,11.911501,-2.71422,-0.006199997,1.4018022,3.2595062,-3.8984046,-1.201274,0.5893828,0.48200694,-2.4707034,0.34365203976631165,0.3136288821697235,79513,1314,119.75903614457832,2.9354105701862285,128,114,2.723500988239645,1.0844560482660113,4.511746051774773,0.757632288420623,326.16385329038644,9.347831977031502,347.1522957150964,311.053500718429,0.058847018,0.68802565,0.9999988,-0.9999983,83,326.16385329038644,79524,677,121.59756097560975,1.4043465288564796,126,120,2.7342958000305804,1.085743060917126,4.395281402511583,0.7746827789846287,332.4837002695722,5.831467997563018,343.3312830349901,324.4704500900551,0.044283606,0.64656574,0.9985896,-0.99862635,82,332.4837002695722,23.353111721997266,0.07855749200098217,43.368845566001255,1122.0573002159945,1188.857814995994,9889.46609816786,7
999999,8.61759,5.7944336,8.963039,5.92865,9.615555,8.57896,134.18832,50.063206,184.46216,3.802512,134.20723,49.969765,184.39099,3.7922385,116.2583,62.349167,181.904,-73.22214,118.12602,59.713776,181.28766,-43.84906,130.4831,51.246994,184.74454,-43.40195,130.73402,50.78592,184.56175,-17.946724,0.07967548,0.6529706,0.9999436,-0.99999374,2.6186423,1.0693336,4.435248,0.7963448,80001,80001,-131.0857,133.78467,50.209953,183.88564,1.0938529,133.82745,50.03836,183.4153,3.2292712,134.13046,50.17511,183.54173,3.2605233,2.7775784,2.7402744,11.437298,-8.432497,0.10651941,1.3671043,3.142453,-3.6929116,-1.1396364,0.6305244,0.8013806,-2.477872,0.39157557487487793,-0.20853295922279358,89400,1396,120.57317073170732,2.6412787359713827,129,117,2.7433709832004003,1.0908245283272564,4.472650995415497,0.7636652954863709,330.7769379378336,6.390891981577552,349.9537174002172,316.24127738820624,0.061060302,0.6895538,0.99999785,-0.9999308,82,330.7769379378336,89498,761,118.73809523809524,1.1032316988764852,122,117,2.709595218729061,1.0789547195995028,4.439653513650056,0.7759353043230691,321.7321751381387,4.386991041699745,334.4793878614318,316.2916800372543,0.051787026,0.63903266,0.99597114,-0.9977809,84,321.7321751381387,23.452786580004613,0.03962132000015117,46.836237158000586,1118.3438911989942,1188.6725362569996,11078.148433483846,8
999999,8.41733,5.3502197,8.5205555,5.729126,10.002094,9.0733185,137.03535,48.084965,183.76909,2.3196726,136.99472,47.92011,182.83803,2.604117,118.152145,62.21575,179.94736,-79.4059,119.838745,59.359688,180.54477,-51.34386,132.53879,50.74794,183.79982,-83.78407,132.68782,49.771233,182.66736,-53.96248,0.059928697,0.64904535,0.99996996,-0.99999195,2.594893,1.0022081,4.469711,0.79203796,90001,90001,-133.53925,136.52054,48.070457,183.60335,4.531832,136.4447,47.921577,183.11803,4.5009904,136.57256,47.605274,181.7465,4.290714,3.161381,2.6032734,11.594943,-5.147852,0.14942871,1.3820759,3.629365,-3.4967213,-1.1818032,0.6127394,0.7812724,-2.4684997,0.40159687399864197,0.1472260057926178,99321,1478,120.98780487804878,3.5112846041987997,132,114,2.723456709848612,1.0808781151887732,4.517101071064723,0.7592163303912803,329.50504900497646,7.527538946540127,349.3797436982333,311.87129156365484,0.059305575,0.6965362,0.99999726,-0.9999816,82,329.50504900497646,99406,845,117.95238095238095,1.5267828135125139,125,116,2.679278180834799,1.0652376166753996,4.467014692326244,0.7884084282445902,316.02724066322844,3.2444498844213965,328.6351823274133,310.0375149562691,0.060293097,0.635474,0.9974907,-0.99763286,84,316.02724066322844,21.358539870008826,0.04013992199907079,45.57152001399663,1117.9302456629957,1184.9004454690003,12263.05462003185,9
