replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
1999179,54.10111,37.754005,54.092857,37.75354,0.000242463,0.00027301733,0.0024374865,0.0016119881,0.007150869,-0.002237087,0.0039283643,0.0019371725,0.010048183,-0.0010453599,0.002449821,0.0016165106,0.006996928,-0.0021065827,0.003929708,0.0019343621,0.009928302,-0.0008709952,0.002437929,0.0016045658,0.0068958863,-0.0021193125,0.0039239586,0.0019429488,0.009914176,-0.0008812918,0.27706435,0.6633567,0.99999887,-0.99999887,3.6112099,1.8315489,7.682084,-2.0783522,1,1,-4.0033426,0.0024224692,0.001594851,0.006767831,-0.0017442955,0.0039961915,0.0019355019,0.009934702,-0.00069384417,3.6067734,1.8319578,7.676091,-2.0811446,-4.0013275,0.54090863,-2.23877,-5.162629,-0.0007336365,0.0009417634,0.0017923136,-0.0039672228,3.1950924e-05,0.0015545812,0.0047330903,-0.0039337706,0.9998999834060669,-0.0,9994,808,12.368811881188119,4.2879196615628485,30,6,0.03164141106264904,0.5447022940760927,1.6992861802677028,-1.6358659244965597,0.39136666108925056,3.041625040085507,14.991005539035374,-5.000790277073132,0.07046624,0.6523558,0.9997715,-0.9996195,808,0.39136666108925056,9938,114,87.17543859649123,3.2558870137382856,105,82,0.8776643974368036,0.10204843617091557,1.0043128473428324,0.4217455169512363,76.51077878707855,2.037809466678373,81.30855729972338,70.19912700680999,-0.000384241,0.000601052,0.0010073443,-0.001924597,114,76.51077878707855,16.275457729003392,0.04944092402001843,58.133997621014714,767.0026850660215,841.4615813400596,867.7181664880482,0
1999179,43.649994,16.283394,44.94566,16.922974,5.3741984,5.1379194,-13.807831,38.213783,63.45712,-104.762535,-14.066437,38.167534,64.88594,-105.67516,-21.99383,36.852127,61.171944,-108.6777,-21.774488,36.988705,60.870827,-109.98194,-14.240585,38.38074,65.24985,-103.96841,-14.420242,38.31765,65.14431,-108.9581,0.26218927,0.66905344,0.9999769,-0.9999863,3.421342,1.8429117,7.2308273,-2.147709,10001,10001,13.7493725,-11.251589,38.217796,65.30611,-99.06178,-11.55629,38.172977,65.78455,-103.22941,-10.857382,39.409897,75.004944,-117.00814,-1.0404259,2.6877303,9.674632,-7.2518826,0.3481129,0.7764727,2.3704531,-3.1711414,-0.2357678,0.36273113,1.0348336,-1.3740872,0.37746214866638184,-6.858700752258301,19822,856,204.75,168.6210618517153,780,12,1.8858829057908446,1.5319052320798274,7.13813014482675,-4.561492431346822,386.13452496067544,590.8815090504017,2863.381295382596,0.5056506244406256,0.40202367,0.62283075,0.9999999,-0.9999999,48,386.13452496067544,19882,153,254.97435897435898,236.94990135637158,1000,98,2.6852672160563262,1.5415901423692764,6.140983708677949,-3.090388593197396,684.6742870888235,944.0128196194621,3663.5469390218186,124.358560887018,0.26895946,0.509024,0.99302065,-0.9934043,39,684.6742870888235,31.77548847097205,0.04591171396896243,82.90003238100326,759.8769859930035,874.5984185589477,1742.3225895519136,1
1999179,51.52825,12.143707,48.37066,13.006165,7.6252117,7.2838507,56.29962,54.99672,148.8942,-65.292725,56.807903,55.417076,152.16441,-64.33195,42.646603,52.8222,143.95584,-70.23189,43.685303,53.44829,144.56538,-69.44213,55.490955,55.20548,148.30289,-61.47591,56.013206,55.676235,151.51144,-62.231003,0.26851207,0.67665917,0.9995545,-0.99999833,3.9020782,1.7553983,7.966289,-3.1571538,20001,20001,-54.34472,57.4833,54.918655,147.49402,-55.57037,57.76702,55.28577,147.22234,-56.55784,59.063316,55.635326,151.5148,-53.365692,1.2881222,3.1719468,11.121511,-9.845364,0.41459027,1.0753727,3.4675446,-5.578665,-0.40735483,0.3854824,0.9627018,-1.6678808,0.14444980025291443,-9.116199493408203,29589,948,106.16304347826087,127.26908135520625,714,11,2.5914164410999905,1.9227591485574878,8.717143439526074,-4.123037899926192,275.1126563067783,496.83928023525044,2953.8118507893514,-7.190965395480456,0.29950854,0.7184575,1.0,-1.0,92,275.1126563067783,29868,274,82.52892561983471,60.65688277327913,455,30,1.9361221886981037,1.9044934709334946,7.775223391391534,-2.7845692162681384,159.78608410197742,229.59762164169993,1864.5920652578056,14.644016906730414,0.15286347,0.6678341,0.99989617,-0.99999666,121,159.78608410197742,48.75471077801194,0.04574582201894373,81.22006625798531,747.9017246090225,877.9222474670387,2620.2505456719664,2
1999179,47.29277,12.283813,49.583927,13.520264,8.952024,8.868292,102.09429,72.850624,216.7055,-28.565811,102.28054,72.830536,217.15115,-29.088026,85.62012,68.92009,206.37033,-34.45279,86.0813,69.05613,205.65048,-34.586872,100.86519,72.98333,215.86882,-25.643755,101.10549,72.95511,215.69919,-27.227,0.25738254,0.680764,0.9999291,-0.99999815,3.6485536,1.8365632,8.9509325,-2.5612411,30001,30001,-98.4041,102.545784,72.50873,213.3524,-22.925556,102.70544,72.51704,213.80103,-21.79996,101.99414,72.58645,216.21858,-30.886927,2.2962317,3.633894,16.131704,-5.9004436,0.4534912,1.1743939,3.6505392,-5.7848887,-0.46381286,0.40127075,1.0704337,-1.781892,0.05456224083900452,-10.771717071533203,38689,1004,162.5,206.3696406243626,1000,28,3.071082135111524,1.8952768525364474,9.92740765515708,-2.8865543096140898,499.05084695562266,930.9027566527451,4313.700214130491,5.318528485337843,0.2890613,0.71904206,1.0,-1.0,56,499.05084695562266,39339,359,111.4235294117647,199.07523712054717,1000,29,2.6330238858289987,1.743836784512395,7.463552124270397,-3.0378353440882107,293.38081438454634,763.3954164750676,3913.0295909548204,10.124303385292833,0.2986997,0.6231306,0.99997956,-0.99999917,85,293.38081438454634,53.43270007899264,0.04192315699765459,84.72345152299386,741.4814069239656,879.6794816829497,3499.9395654029213,3
1999179,47.18746,10.390381,48.16023,10.389099,10.062901,9.82776,137.71838,95.8813,276.64713,-26.406803,138.77383,96.69933,279.15048,-31.039516,119.118774,92.49445,268.8251,-36.361332,120.678246,93.73919,272.11603,-38.976593,136.42117,96.07921,273.527,-25.080605,137.66592,96.848366,279.23996,-30.21679,0.25014582,0.6932809,0.99996763,-0.99999785,3.578843,1.92261,8.559403,-2.8066773,40001,40001,-133.44159,138.05222,95.57326,274.18167,-23.27884,139.28294,96.427086,277.49393,-27.185116,139.45093,95.723595,282.7434,-21.844917,3.2332835,3.9825966,16.045082,-9.564034,0.45175707,1.2691302,4.0242944,-5.99977,-0.5616912,0.41813764,0.7704562,-1.9208362,0.020404258742928505,-10.767822265625,48419,1033,335.51724137931035,355.3147823132624,1000,69,3.95291922543522,1.8572117623250493,8.80175570606373,-2.29687610509006,1326.2725539132653,1780.2242864402797,5067.1007967579935,102.95445037079514,0.314793,0.69674957,0.99999994,-0.99999994,29,1326.2725539132653,48612,418,157.16949152542372,192.64546804264194,1000,31,2.5843047975668068,1.8163831688289989,7.7998064544022805,-3.9228782245406237,406.1738709802881,770.3595990259147,3720.477269456985,12.761730976963262,0.25042364,0.6497241,0.99999934,-0.9999999,59,406.1738709802881,52.17024715599837,0.04016266803955659,82.27042124798754,726.7006013680366,861.181432440062,4361.126948716992,4
1999179,819.50854,-10.74585,854.25903,-10.414307,15.4264965,15.139887,348.29535,97.26285,494.3916,-63.550465,347.41348,97.24848,491.48236,-37.90253,318.29913,97.43475,479.0308,-102.112465,318.1041,97.51271,484.51764,-99.835495,346.48505,99.21491,495.89542,-102.3389,345.7055,99.10217,492.4442,-96.64192,0.27105954,0.67966783,1.0,-0.9999968,3.7715065,1.8645995,8.060128,-2.352725,50001,50001,-330.6712,344.37555,98.42737,491.0227,-56.96823,343.63666,98.42673,489.7759,-44.80462,345.2862,101.738495,494.36765,-0.082864836,14.948355,7.4757514,48.419,3.6016746,0.7558117,2.2286053,6.54724,-14.334908,-1.3040811,0.57875854,1.4780575,-2.6996627,0.05826115235686302,25.43938636779785,58208,1069,271.9166666666667,301.0792969560603,1000,63,3.8944170542475316,1.6974287078325285,10.726236677778939,-1.578008254691336,1058.9569040008084,1311.6906847087855,4587.35270805917,197.98630647604836,0.35953897,0.7298987,1.0,-1.0,36,1058.9569040008084,58530,453,283.37142857142857,313.81551320247155,1000,65,3.7801890070928055,1.756942361659699,9.445469123596817,-4.073398417154435,1071.1975592098986,1332.902310364398,4442.63064062974,190.8906248066271,0.38825056,0.716548,0.99999994,-1.0,35,1071.1975592098986,53.380627818987705,0.04321871598949656,82.68551688501611,716.7192994499928,852.8286628699861,5213.961468565976,5
1999179,100.08081,3.3289795,116.62666,3.125,13.588447,13.36018,401.38193,111.53525,557.5543,37.027718,401.52524,111.693375,560.1656,31.465826,375.52896,111.07082,548.21344,17.550041,375.8444,111.32926,537.6285,10.859937,400.32135,112.02898,557.7934,20.732668,400.33023,112.17672,559.2071,14.489719,0.2542917,0.6942447,0.9999999,-1.0,3.7768474,1.8404248,7.496605,-1.2998774,60001,60001,-390.0485,398.32147,113.10838,553.3905,29.223263,398.2935,112.986595,559.15607,24.67444,395.24567,111.09405,545.849,2.7625122,9.226465,3.8074033,22.321545,-0.023157597,0.7500634,1.6525898,4.783815,-6.9308047,-1.0162766,0.39925167,0.0020211898,-2.3039737,0.14240749180316925,6.288852691650391,68108,1105,275.0,277.29827502769166,1000,72,4.168940407319058,1.7441281310430308,9.138167671988528,-1.3595239092039608,1146.4586120127415,1432.1907681471316,4959.72572789119,214.61357594414437,0.36692032,0.6955797,1.0,-0.99997234,36,1146.4586120127415,67646,478,364.64,323.8288288587043,1000,164,4.049806364366636,1.6331832087938338,8.447104963223602,-1.1253724295090888,1476.72139270265,1641.856084057979,4822.12173447881,441.77878179711405,0.3751986,0.67802465,0.999993,-0.9999813,25,1476.72139270265,50.88887833600165,0.03785197203978896,81.01386498200009,710.1763364159851,842.1169317060267,6056.084465301014,6
1999179,105.78357,13.718872,112.16745,11.875244,11.590683,11.235729,378.60294,124.932495,548.7379,-33.425026,379.6981,124.711044,549.497,-33.625893,356.55902,125.03763,544.9577,-47.245518,358.15826,124.72467,546.2726,-46.26953,376.94037,125.503395,548.70593,-32.253433,378.41547,125.08558,550.34875,-27.564768,0.23927246,0.67895305,0.99999934,-0.999998,3.4807596,1.8989035,7.6321907,-2.0223076,70001,70001,-370.9773,375.81772,126.41386,548.1421,-42.46778,377.2282,125.99609,549.4482,-32.36407,374.91943,126.09187,546.2455,-21.538708,5.8985567,3.5209436,16.383808,-5.0122137,0.5491252,1.408817,3.3941305,-4.110122,-0.8303952,0.284018,-0.08370634,-1.8649584,0.2577573359012604,-0.13752517104148865,77783,1148,225.0,235.193042928273,1000,70,4.248243560183837,1.7724675840471593,9.790154139853273,-1.5098283930720013,955.8548010413633,1248.8218022858232,5202.256971098942,168.1283613304326,0.32682717,0.69665456,0.9999413,-0.9999348,43,955.8548010413633,77610,569,109.49450549450549,9.274061223037679,170,97,3.2107810096663556,1.7495478054119284,7.225917891494251,-1.4073188510374237,351.56287890456673,43.060307797635694,673.7558199324031,319.83353520617663,0.3376262,0.66712016,0.9996357,-0.9995501,91,351.56287890456673,51.22676094900817,0.05141160701168701,81.86242203804431,713.5780263969791,846.7186209910433,6902.808592044981,7
1999179,166.31523,19.676147,141.78922,20.915894,11.843768,11.295318,366.06247,137.02696,545.96484,-44.51373,367.70596,136.63382,548.35175,-51.196377,343.70816,136.96559,535.6809,-66.27984,346.15924,136.62698,532.80304,-66.603615,363.92053,138.01074,546.09344,-41.874672,365.45248,137.74724,548.25073,-48.07645,0.23369746,0.69150877,1.0,-0.99998873,3.507795,1.8368027,8.221961,-1.678573,80001,80001,-358.27664,362.31244,139.2322,544.0816,-41.42129,363.46884,139.11649,546.7011,-50.948544,367.20035,137.51332,542.40283,-32.784374,5.960976,3.7754533,17.752375,-5.851053,0.5701304,1.4412597,3.9615273,-5.1185627,-0.78172284,0.27408513,-0.05420877,-1.812949,0.2507835328578949,-0.05397758632898331,87298,1183,271.85714285714283,291.57377335096936,1000,86,4.332102284147825,1.723697009432001,9.334701195795853,-4.915547450878042,1177.7129495333306,1463.389065768337,4905.501546379716,265.06844191275843,0.3350026,0.707093,0.99999106,-0.99999595,35,1177.7129495333306,87560,666,102.57731958762886,1.1999574867588834,105,99,3.393951120755774,1.7243156066777472,5.749178250665071,-1.3422939396538733,348.1424087785562,8.564725737170484,367.4489375069593,325.32497646481016,0.29256323,0.6695488,0.9965156,-0.9973435,97,348.1424087785562,52.84495516505558,0.040190417028497905,82.92423642304493,708.1462150080479,843.9555970131769,7746.771313798032,8
1999179,69.62668,13.279785,79.79515,14.783081,11.514154,10.700022,368.41196,144.97647,562.8903,-9.090538,369.27478,143.5401,554.3714,-19.285887,346.47464,144.73186,551.758,-28.887371,348.74652,144.18529,545.0736,-29.178307,367.0207,145.1872,562.0569,-7.3817425,367.90146,143.90901,554.12695,-19.819878,0.25633097,0.67854726,0.9999905,-0.9999935,3.5403113,1.7977939,7.704104,-2.8165548,90001,90001,-359.99014,365.5108,147.03625,561.84436,-9.229558,366.02914,145.44981,551.18713,-21.793545,365.0088,148.31955,558.6566,-24.729004,6.616079,3.5392325,16.83963,-2.1311948,0.6357032,1.424077,4.526526,-4.3246264,-0.81938726,0.27617747,-0.11980784,-1.9742131,0.24698010087013245,0.8615438342094421,97114,1237,181.77777777777777,228.59374174598938,1000,27,4.167431321321307,1.9235490577081416,9.99203012570639,-1.8106616366851118,757.5464046312956,1172.1840087847277,5275.79083269093,14.771159035188289,0.3366398,0.71391004,0.99996555,-0.9999992,54,757.5464046312956,97554,966,33.31333333333333,0.46384863431463885,34,33,1.2580433703434306,1.7681109903593752,4.1035808882376585,-1.6620186761194922,41.90961814404082,1.577183941386168,44.60465067568089,40.402135365464524,0.4198178,0.68080205,0.99987507,-0.9978601,300,41.90961814404082,50.270948229997884,0.05112851597368717,81.14566129498417,710.9245921130059,842.3923301539617,8589.171090154909,9
